scientific_name,country_code,country_name,area,part_of_eu,status,endemic,rlc,rlc_numeric
Aglais io,AD,Andorra,468,,P,,LC,1
Aglais urticae,AD,Andorra,468,,P,,LC,1
Agriades glandon,AD,Andorra,468,,P,,NT,20
Anthocharis cardamines,AD,Andorra,468,,P,,LC,1
Anthocharis euphenoides,AD,Andorra,468,,P,,LC,1
Apatura ilia,AD,Andorra,468,,P,,DD,1
Apatura iris,AD,Andorra,468,,P,,DD,1
Aphantopus hyperantus,AD,Andorra,468,,P,,VU,30
Aporia crataegi,AD,Andorra,468,,P,,LC,1
Arethusana arethusa,AD,Andorra,468,,P,,VU,30
Argynnis pandora,AD,Andorra,468,,P,,VU,30
Argynnis paphia,AD,Andorra,468,,P,,LC,1
Aricia montensis,AD,Andorra,468,,P,,Unknown,1
Aricia morronensis,AD,Andorra,468,,P,,EN,50
Aricia nicias,AD,Andorra,468,,P,,VU,30
Boloria dia,AD,Andorra,468,,P,,LC,1
Boloria eunomia,AD,Andorra,468,,P,,VU,30
Boloria euphrosyne,AD,Andorra,468,,P,,LC,1
Boloria pales,AD,Andorra,468,,P,,NT,20
Boloria selene,AD,Andorra,468,,P,,LC,1
Brenthis daphne,AD,Andorra,468,,P,,NT,20
Brenthis ino,AD,Andorra,468,,P,,LC,1
Brintesia circe,AD,Andorra,468,,P,,LC,1
Cacyreus marshalli,AD,Andorra,468,,P,,DD,1
Callophrys rubi,AD,Andorra,468,,P,,LC,1
Carcharodus alceae,AD,Andorra,468,,P,,LC,1
Carcharodus floccifera,AD,Andorra,468,,P,,EN,50
Carcharodus lavatherae,AD,Andorra,468,,P,,DD,1
Carterocephalus palaemon,AD,Andorra,468,,P,,Unknown,1
Celastrina argiolus,AD,Andorra,468,,P,,LC,1
Chazara briseis,AD,Andorra,468,,P,,VU,30
Coenonympha arcania,AD,Andorra,468,,P,,LC,1
Coenonympha dorus,AD,Andorra,468,,P,,NT,20
Coenonympha glycerion,AD,Andorra,468,,P,,EN,50
Coenonympha pamphilus,AD,Andorra,468,,P,,LC,1
Colias alfacariensis,AD,Andorra,468,,P,,LC,1
Colias crocea,AD,Andorra,468,,M,,LC,1
Colias phicomone,AD,Andorra,468,,P,,NT,20
Cupido alcetas,AD,Andorra,468,,P,,NT,20
Cupido argiades,AD,Andorra,468,,P,,EN,50
Cupido minimus,AD,Andorra,468,,P,,LC,1
Cyaniris semiargus,AD,Andorra,468,,P,,LC,1
Erebia arvernensis,AD,Andorra,468,,P,,LC,1
Erebia epiphron,AD,Andorra,468,,P,,LC,1
Erebia euryale,AD,Andorra,468,,P,,LC,1
Erebia gorge,AD,Andorra,468,,P,,VU,30
Erebia gorgone,AD,Andorra,468,,P,,NT,20
Erebia lefebvrei,AD,Andorra,468,,P,,VU,30
Erebia meolans,AD,Andorra,468,,P,,LC,1
Erebia neoridas,AD,Andorra,468,,P,,LC,1
Erebia oeme,AD,Andorra,468,,P,,NT,20
Erebia pandrose,AD,Andorra,468,,P,,NT,20
Erebia triarius,AD,Andorra,468,,P,,LC,1
Erynnis tages,AD,Andorra,468,,P,,LC,1
Euchloe crameri,AD,Andorra,468,,P,,DD,1
Euchloe simplonia,AD,Andorra,468,,P,,NT,20
Eumedonia eumedon,AD,Andorra,468,,P,,VU,30
