scientific_name,country_code,country_name,area,part_of_eu,status,endemic,rlc,rlc_numeric
Euphydryas aurinia,AD,Andorra,468,,P,,NT,20
Fabriciana adippe,AD,Andorra,468,,P,,LC,1
Fabriciana niobe,AD,Andorra,468,,P,,DD,1
Favonius quercus,AD,Andorra,468,,P,,LC,1
Glaucopsyche alexis,AD,Andorra,468,,P,,DD,1
Gonepteryx cleopatra,AD,Andorra,468,,P,,NT,20
Gonepteryx rhamni,AD,Andorra,468,,P,,LC,1
Hamearis lucina,AD,Andorra,468,,P,,VU,30
Hesperia comma,AD,Andorra,468,,P,,LC,1
Hipparchia fidia,AD,Andorra,468,,P,,DD,1
Hipparchia hermione,AD,Andorra,468,,P,,LC,1
Hipparchia semele,AD,Andorra,468,,P,,VU,30
Hipparchia statilinus,AD,Andorra,468,,P,,NT,20
Hyponephele lycaon,AD,Andorra,468,,P,,DD,1
Iphiclides feisthamelii,AD,Andorra,468,,P,,LC,1
Issoria lathonia,AD,Andorra,468,,P,,LC,1
Laeosopis roboris,AD,Andorra,468,,P,,NT,20
Lampides boeticus,AD,Andorra,468,,M,,LC,1
Lasiommata maera,AD,Andorra,468,,P,,LC,1
Lasiommata megera,AD,Andorra,468,,P,,LC,1
Leptidea reali,AD,Andorra,468,,P,,DD,1
Leptidea sinapis,AD,Andorra,468,,P,,DD,1
Leptotes pirithous,AD,Andorra,468,,M,,LC,1
Libythea celtis,AD,Andorra,468,,M,,LC,1
Limenitis camilla,AD,Andorra,468,,P,,NT,20
Limenitis reducta,AD,Andorra,468,,P,,NT,20
Lycaena alciphron,AD,Andorra,468,,P,,NT,20
Lycaena helle,AD,Andorra,468,,P,,Unknown,1
Lycaena hippothoe,AD,Andorra,468,,P,,NT,20
Lycaena phlaeas,AD,Andorra,468,,P,,LC,1
Lycaena tityrus,AD,Andorra,468,,P,,LC,1
Lycaena virgaureae,AD,Andorra,468,,P,,LC,1
Lysandra bellargus,AD,Andorra,468,,P,,LC,1
Lysandra coridon,AD,Andorra,468,,P,,LC,1
Maniola jurtina,AD,Andorra,468,,P,,LC,1
Melanargia lachesis,AD,Andorra,468,,P,,LC,1
Melanargia russiae,AD,Andorra,468,,P,,VU,30
Melitaea celadussa,AD,Andorra,468,,P,,LC,1
Melitaea cinxia,AD,Andorra,468,,P,,LC,1
Melitaea deione,AD,Andorra,468,,P,,NT,20
Melitaea diamina,AD,Andorra,468,,P,,NT,20
Melitaea didyma,AD,Andorra,468,,P,,LC,1
Melitaea parthenoides,AD,Andorra,468,,P,,LC,1
Melitaea phoebe,AD,Andorra,468,,P,,LC,1
Melitaea trivia,AD,Andorra,468,,P,,VU,30
Nymphalis antiopa,AD,Andorra,468,,P,,LC,1
Nymphalis polychloros,AD,Andorra,468,,P,,NT,20
Ochlodes sylvanus,AD,Andorra,468,,P,,LC,1
Papilio machaon,AD,Andorra,468,,P,,LC,1
Pararge aegeria,AD,Andorra,468,,P,,LC,1
Parnassius apollo,AD,Andorra,468,,P,,LC,1
Parnassius mnemosyne,AD,Andorra,468,,P,,EN,50
Phengaris alcon,AD,Andorra,468,,P,,CR,80
Phengaris arion,AD,Andorra,468,,P,,CR,80
Pieris brassicae,AD,Andorra,468,,P,,LC,1
Pieris mannii,AD,Andorra,468,,P,,DD,1
Pieris napi,AD,Andorra,468,,P,,LC,1
Pieris rapae,AD,Andorra,468,,M,,LC,1
Plebejus argus,AD,Andorra,468,,P,,LC,1
Plebejus idas,AD,Andorra,468,,P,,LC,1
Polygonia c-album,AD,Andorra,468,,P,,LC,1
Polyommatus amandus,AD,Andorra,468,,P,,NT,20
Polyommatus damon,AD,Andorra,468,,P,,EN,50
Polyommatus dorylas,AD,Andorra,468,,P,,NT,20
Polyommatus eros,AD,Andorra,468,,P,,VU,30
Polyommatus escheri,AD,Andorra,468,,P,,LC,1
Polyommatus icarus,AD,Andorra,468,,P,,LC,1
Polyommatus thersites,AD,Andorra,468,,P,,NT,20
Pontia callidice,AD,Andorra,468,,P,,NT,20
Pontia daplidice,AD,Andorra,468,,M,,LC,1
Pseudophilotes baton,AD,Andorra,468,,P,,VU,30
Pyrgus alveus,AD,Andorra,468,,P,,LC,1
Pyrgus andromedae,AD,Andorra,468,,P,,EN,50
Pyrgus cacaliae,AD,Andorra,468,,P,,EN,50
Pyrgus carthami,AD,Andorra,468,,P,,LC,1
Pyrgus cirsii,AD,Andorra,468,,P,,LC,1
Pyrgus malvoides,AD,Andorra,468,,P,,LC,1
Pyrgus serratulae,AD,Andorra,468,,P,,NT,20
Pyronia tithonus,AD,Andorra,468,,P,,LC,1
Satyrium acaciae,AD,Andorra,468,,P,,VU,30
Satyrium esculi,AD,Andorra,468,,P,,LC,1
Satyrium ilicis,AD,Andorra,468,,P,,VU,30
Satyrium spini,AD,Andorra,468,,P,,VU,30
Satyrium w-album,AD,Andorra,468,,P,,EN,50
Satyrus actaea,AD,Andorra,468,,P,,LC,1
Speyeria aglaja,AD,Andorra,468,,P,,LC,1
Spialia sertorius,AD,Andorra,468,,P,,NT,20
Thecla betulae,AD,Andorra,468,,P,,DD,1
Thymelicus acteon,AD,Andorra,468,,P,,VU,30
Thymelicus lineola,AD,Andorra,468,,P,,LC,1
Thymelicus sylvestris,AD,Andorra,468,,P,,LC,1
Vanessa atalanta,AD,Andorra,468,,M,,LC,1
Vanessa cardui,AD,Andorra,468,,M,,LC,1
Zerynthia rumina,AD,Andorra,468,,P,,CR,80
Aglais io,AL,Albania,28748,,P,,Unknown,1
Aglais urticae,AL,Albania,28748,,P,,Unknown,1
Anthocharis cardamines,AL,Albania,28748,,P,,Unknown,1
Anthocharis damone,AL,Albania,28748,,P,,Unknown,1
Anthocharis gruneri,AL,Albania,28748,,P,,VU,30
Apatura ilia,AL,Albania,28748,,P,,VU,30
Apatura iris,AL,Albania,28748,,P,,Unknown,1
Apatura metis,AL,Albania,28748,,P,,Unknown,1
Aphantopus hyperantus,AL,Albania,28748,,P,,Unknown,1
Aporia crataegi,AL,Albania,28748,,P,,Unknown,1
Arethusana arethusa,AL,Albania,28748,,P,,VU,30
Argynnis pandora,AL,Albania,28748,,P,,VU,30
Argynnis paphia,AL,Albania,28748,,P,,Unknown,1
Aricia agestis,AL,Albania,28748,,P,,Unknown,1
Aricia anteros,AL,Albania,28748,,P,,Unknown,1
Aricia artaxerxes,AL,Albania,28748,,P,,Unknown,1
Boloria dia,AL,Albania,28748,,P,,Unknown,1
Boloria euphrosyne,AL,Albania,28748,,P,,Unknown,1
Boloria graeca,AL,Albania,28748,,P,,Unknown,1
Boloria pales,AL,Albania,28748,,P,,Unknown,1
Boloria titania,AL,Albania,28748,,P,,Unknown,1
Brenthis daphne,AL,Albania,28748,,P,,Unknown,1
Brenthis hecate,AL,Albania,28748,,P,,VU,30
Brenthis ino,AL,Albania,28748,,P,,Unknown,1
Brintesia circe,AL,Albania,28748,,P,,VU,30
Cacyreus marshalli,AL,Albania,28748,,P,,Unknown,1
Callophrys rubi,AL,Albania,28748,,P,,Unknown,1
Carcharodus alceae,AL,Albania,28748,,P,,VU,30
Carcharodus floccifera,AL,Albania,28748,,P,,VU,30
Carcharodus lavatherae,AL,Albania,28748,,P,,Unknown,1
Carcharodus orientalis,AL,Albania,28748,,P,,Unknown,1
Carterocephalus palaemon,AL,Albania,28748,,P,,Unknown,1
Celastrina argiolus,AL,Albania,28748,,P,,Unknown,1
Charaxes jasius,AL,Albania,28748,,P,,NT,20
Chazara briseis,AL,Albania,28748,,P,,VU,30
Coenonympha arcania,AL,Albania,28748,,P,,Unknown,1
Coenonympha leander,AL,Albania,28748,,P,,Unknown,1
Coenonympha orientalis,AL,Albania,28748,,P,,Unknown,1
Coenonympha pamphilus,AL,Albania,28748,,P,,Unknown,1
Coenonympha rhodopensis,AL,Albania,28748,,P,,VU,30
Colias alfacariensis,AL,Albania,28748,,P,,VU,30
Colias aurorina,AL,Albania,28748,,P,,Unknown,1
Colias caucasica,AL,Albania,28748,,P,,Unknown,1
Colias crocea,AL,Albania,28748,,P,,Unknown,1
Cupido alcetas,AL,Albania,28748,,P,,Unknown,1
Cupido argiades,AL,Albania,28748,,P,,Unknown,1
Cupido decoloratus,AL,Albania,28748,,P,,Unknown,1
Cupido minimus,AL,Albania,28748,,P,,VU,30
Cupido osiris,AL,Albania,28748,,P,,VU,30
Cyaniris semiargus,AL,Albania,28748,,P,,Unknown,1
Danaus chrysippus,AL,Albania,28748,,M,,NT,20
Erebia aethiops,AL,Albania,28748,,P,,VU,30
Erebia epiphron,AL,Albania,28748,,P,,Unknown,1
Erebia euryale,AL,Albania,28748,,P,,Unknown,1
Erebia gorge,AL,Albania,28748,,P,,Unknown,1
Erebia ligea,AL,Albania,28748,,P,,Unknown,1
Erebia medusa,AL,Albania,28748,,P,,VU,30
Erebia melas,AL,Albania,28748,,P,,Unknown,1
Erebia neleus,AL,Albania,28748,,P,,Unknown,1
Erebia oeme,AL,Albania,28748,,P,,Unknown,1
Erebia ottomana,AL,Albania,28748,,P,,Unknown,1
Erebia pandrose,AL,Albania,28748,,P,,Unknown,1
Erebia pronoe,AL,Albania,28748,,P,,Unknown,1
Erebia rhodopensis,AL,Albania,28748,,P,,Unknown,1
Erebia triarius,AL,Albania,28748,,P,,Unknown,1
Erynnis marloyi,AL,Albania,28748,,P,,VU,30
Erynnis tages,AL,Albania,28748,,P,,VU,30
Euchloe ausonia,AL,Albania,28748,,P,,VU,30
Euchloe penia,AL,Albania,28748,,P,,Unknown,1
Eumedonia eumedon,AL,Albania,28748,,P,,Unknown,1
Euphydryas aurinia,AL,Albania,28748,,P,,VU,30
Euphydryas maturna,AL,Albania,28748,,P,,Unknown,1
Fabriciana adippe,AL,Albania,28748,,P,,Unknown,1
Fabriciana niobe,AL,Albania,28748,,P,,Unknown,1
Favonius quercus,AL,Albania,28748,,P,,VU,30
Gegenes nostrodamus,AL,Albania,28748,,P,,Unknown,1
Gegenes pumilio,AL,Albania,28748,,P,,NT,20
Glaucopsyche alexis,AL,Albania,28748,,P,,VU,30
Gonepteryx cleopatra,AL,Albania,28748,,P,,NT,20
Gonepteryx farinosa,AL,Albania,28748,,P,,NT,20
Gonepteryx rhamni,AL,Albania,28748,,P,,Unknown,1
Hamearis lucina,AL,Albania,28748,,P,,VU,30
Hesperia comma,AL,Albania,28748,,P,,Unknown,1
Hipparchia fagi,AL,Albania,28748,,P,,Unknown,1
Hipparchia fatua,AL,Albania,28748,,P,,Unknown,1
Hipparchia semele,AL,Albania,28748,,P,,VU,30
Hipparchia senthes,AL,Albania,28748,,P,,Unknown,1
Hipparchia statilinus,AL,Albania,28748,,P,,VU,30
Hipparchia syriaca,AL,Albania,28748,,P,,Unknown,1
Hipparchia volgensis,AL,Albania,28748,,P,,Unknown,1
Hyponephele lupina,AL,Albania,28748,,P,,Unknown,1
Hyponephele lycaon,AL,Albania,28748,,P,,Unknown,1
Iolana iolas,AL,Albania,28748,,P,,VU,30
Iphiclides podalirius,AL,Albania,28748,,P,,Unknown,1
Issoria lathonia,AL,Albania,28748,,P,,Unknown,1
Kirinia climene,AL,Albania,28748,,P,,Unknown,1
Kirinia roxelana,AL,Albania,28748,,P,,Unknown,1
Kretania sephirus,AL,Albania,28748,,P,,Unknown,1
Lampides boeticus,AL,Albania,28748,,P,,Unknown,1
Lasiommata maera,AL,Albania,28748,,P,,Unknown,1
Lasiommata megera,AL,Albania,28748,,P,,Unknown,1
Lasiommata petropolitana,AL,Albania,28748,,P,,Unknown,1
Leptidea duponcheli,AL,Albania,28748,,P,,VU,30
Leptidea juvernica,AL,Albania,28748,,P,,Unknown,1
Leptidea sinapis,AL,Albania,28748,,P,,Unknown,1
Leptotes pirithous,AL,Albania,28748,,P,,Unknown,1
Libythea celtis,AL,Albania,28748,,P,,VU,30
Limenitis reducta,AL,Albania,28748,,P,,VU,30
Lycaena alciphron,AL,Albania,28748,,P,,Unknown,1
Lycaena candens,AL,Albania,28748,,P,,VU,30
Lycaena dispar,AL,Albania,28748,,P,,VU,30
Lycaena ottomana,AL,Albania,28748,,P,,VU,30
Lycaena phlaeas,AL,Albania,28748,,P,,Unknown,1
Lycaena thersamon,AL,Albania,28748,,P,,Unknown,1
Lycaena tityrus,AL,Albania,28748,,P,,Unknown,1
Lycaena virgaureae,AL,Albania,28748,,P,,Unknown,1
Lysandra bellargus,AL,Albania,28748,,P,,Unknown,1
Lysandra coridon,AL,Albania,28748,,P,,Unknown,1
Maniola jurtina,AL,Albania,28748,,P,,Unknown,1
Melanargia galathea,AL,Albania,28748,,P,,Unknown,1
Melanargia larissa,AL,Albania,28748,,P,,Unknown,1
Melanargia russiae,AL,Albania,28748,,P,,CR,80
Melitaea athalia,AL,Albania,28748,,P,,Unknown,1
Melitaea aurelia,AL,Albania,28748,,P,,Unknown,1
Melitaea cinxia,AL,Albania,28748,,P,,VU,30
Melitaea diamina,AL,Albania,28748,,P,,Unknown,1
Melitaea didyma,AL,Albania,28748,,P,,Unknown,1
Melitaea ornata,AL,Albania,28748,,P,,Unknown,1
Melitaea phoebe,AL,Albania,28748,,P,,VU,30
Melitaea trivia,AL,Albania,28748,,P,,VU,30
Minois dryas,AL,Albania,28748,,P,,VU,30
Muschampia proto,AL,Albania,28748,,P,,Unknown,1
Neptis rivularis,AL,Albania,28748,,P,,Unknown,1
Nymphalis antiopa,AL,Albania,28748,,P,,VU,30
Nymphalis polychloros,AL,Albania,28748,,P,,VU,30
Nymphalis xanthomelas,AL,Albania,28748,,P,,Unknown,1
Ochlodes sylvanus,AL,Albania,28748,,P,,Unknown,1
Papilio alexanor,AL,Albania,28748,,P,,VU,30
Papilio machaon,AL,Albania,28748,,P,,Unknown,1
Pararge aegeria,AL,Albania,28748,,P,,Unknown,1
Parnassius apollo,AL,Albania,28748,,P,,CR,80
Parnassius mnemosyne,AL,Albania,28748,,P,,VU,30
Phengaris alcon,AL,Albania,28748,,P,,VU,30
Phengaris arion,AL,Albania,28748,,P,,EN,50
Pieris balcana,AL,Albania,28748,,P,,Unknown,1
Pieris brassicae,AL,Albania,28748,,P,,Unknown,1
Pieris ergane,AL,Albania,28748,,P,,Unknown,1
Pieris krueperi,AL,Albania,28748,,P,,VU,30
Pieris mannii,AL,Albania,28748,,P,,Unknown,1
Pieris napi,AL,Albania,28748,,P,,Unknown,1
Pieris rapae,AL,Albania,28748,,P,,Unknown,1
Plebejus argus,AL,Albania,28748,,P,,Unknown,1
Plebejus argyrognomon,AL,Albania,28748,,P,,Unknown,1
Plebejus idas,AL,Albania,28748,,P,,Unknown,1
Polygonia c-album,AL,Albania,28748,,P,,Unknown,1
Polygonia egea,AL,Albania,28748,,P,,Unknown,1
Polyommatus admetus,AL,Albania,28748,,P,,Unknown,1
Polyommatus amandus,AL,Albania,28748,,P,,Unknown,1
Polyommatus damon,AL,Albania,28748,,P,,VU,30
Polyommatus daphnis,AL,Albania,28748,,P,,Unknown,1
Polyommatus dorylas,AL,Albania,28748,,P,,Unknown,1
Polyommatus eros,AL,Albania,28748,,P,,CR,80
Polyommatus escheri,AL,Albania,28748,,P,,Unknown,1
Polyommatus icarus,AL,Albania,28748,,P,,Unknown,1
Polyommatus ripartii,AL,Albania,28748,,P,,Unknown,1
Polyommatus thersites,AL,Albania,28748,,P,,Unknown,1
Pontia chloridice,AL,Albania,28748,,P,,NT,20
Pontia edusa,AL,Albania,28748,,P,,Unknown,1
Pseudochazara amalthea,AL,Albania,28748,,P,,Unknown,1
Pseudochazara amymone,AL,Albania,28748,,P,,Unknown,1
Pseudochazara geyeri,AL,Albania,28748,,P,,VU,30
Pseudochazara tisiphone,AL,Albania,28748,,P,,Unknown,1
Pseudophilotes vicrama,AL,Albania,28748,,P,,VU,30
Pyrgus alveus,AL,Albania,28748,,P,,Unknown,1
Pyrgus andromedae,AL,Albania,28748,,P,,Unknown,1
Pyrgus armoricanus,AL,Albania,28748,,P,,EN,50
Pyrgus carthami,AL,Albania,28748,,P,,Unknown,1
Pyrgus cinarae,AL,Albania,28748,,P,,Unknown,1
Pyrgus malvae,AL,Albania,28748,,P,,Unknown,1
Pyrgus serratulae,AL,Albania,28748,,P,,Unknown,1
Pyrgus sidae,AL,Albania,28748,,P,,NT,20
Pyronia cecilia,AL,Albania,28748,,P,,Unknown,1
Pyronia tithonus,AL,Albania,28748,,P,,Unknown,1
Satyrium acaciae,AL,Albania,28748,,P,,Unknown,1
Satyrium ilicis,AL,Albania,28748,,P,,Unknown,1
Satyrium spini,AL,Albania,28748,,P,,Unknown,1
Satyrium w-album,AL,Albania,28748,,P,,VU,30
Satyrus ferula,AL,Albania,28748,,P,,Unknown,1
Scolitantides orion,AL,Albania,28748,,P,,VU,30
Speyeria aglaja,AL,Albania,28748,,P,,Unknown,1
Spialia orbifer,AL,Albania,28748,,P,,Unknown,1
Spialia phlomidis,AL,Albania,28748,,P,,Unknown,1
Tarucus balkanicus,AL,Albania,28748,,P,,VU,30
Thecla betulae,AL,Albania,28748,,P,,VU,30
Thymelicus acteon,AL,Albania,28748,,P,,VU,30
Thymelicus lineola,AL,Albania,28748,,P,,Unknown,1
Thymelicus sylvestris,AL,Albania,28748,,P,,Unknown,1
Vanessa atalanta,AL,Albania,28748,,P,,Unknown,1
Vanessa cardui,AL,Albania,28748,,M,,Unknown,1
Zerynthia cerisy,AL,Albania,28748,,P,,Unknown,1
Zerynthia polyxena,AL,Albania,28748,,P,,VU,30
Aglais io,AT,Austria,83858,y,P,,LC,1
Aglais urticae,AT,Austria,83858,y,P,,LC,1
Agriades glandon,AT,Austria,83858,y,P,,NT,20
Agriades optilete,AT,Austria,83858,y,P,,VU,30
Agriades orbitulus,AT,Austria,83858,y,P,,NT,20
Anthocharis cardamines,AT,Austria,83858,y,P,,LC,1
Apatura ilia,AT,Austria,83858,y,P,,NT,20
Apatura iris,AT,Austria,83858,y,P,,LC,1
Apatura metis,AT,Austria,83858,y,P,,DD,1
Aphantopus hyperantus,AT,Austria,83858,y,P,,LC,1
Aporia crataegi,AT,Austria,83858,y,P,,NT,20
Araschnia levana,AT,Austria,83858,y,P,,LC,1
Arethusana arethusa,AT,Austria,83858,y,P,,EN,50
Argynnis paphia,AT,Austria,83858,y,P,,LC,1
Aricia agestis,AT,Austria,83858,y,P,,NT,20
Aricia artaxerxes,AT,Austria,83858,y,P,,NT,20
Boloria aquilonaris,AT,Austria,83858,y,P,,EN,50
Boloria dia,AT,Austria,83858,y,P,,LC,1
Boloria eunomia,AT,Austria,83858,y,P,,EN,50
Boloria euphrosyne,AT,Austria,83858,y,P,,LC,1
Boloria napaea,AT,Austria,83858,y,P,,NT,20
Boloria pales,AT,Austria,83858,y,P,,LC,1
Boloria selene,AT,Austria,83858,y,P,,LC,1
Boloria thore,AT,Austria,83858,y,P,,VU,30
Boloria titania,AT,Austria,83858,y,P,,NT,20
Brenthis daphne,AT,Austria,83858,y,P,,LC,1
Brenthis hecate,AT,Austria,83858,y,P,,CR,80
Brenthis ino,AT,Austria,83858,y,P,,LC,1
Brintesia circe,AT,Austria,83858,y,P,,LC,1
Callophrys rubi,AT,Austria,83858,y,P,,LC,1
Carcharodus alceae,AT,Austria,83858,y,P,,NT,20
Carcharodus floccifera,AT,Austria,83858,y,P,,EN,50
Carcharodus lavatherae,AT,Austria,83858,y,P,,CR,80
Carterocephalus palaemon,AT,Austria,83858,y,P,,LC,1
Celastrina argiolus,AT,Austria,83858,y,P,,LC,1
Chazara briseis,AT,Austria,83858,y,P,,CR,80
Coenonympha arcania,AT,Austria,83858,y,P,,LC,1
Coenonympha gardetta,AT,Austria,83858,y,P,,LC,1
Coenonympha glycerion,AT,Austria,83858,y,P,,LC,1
Coenonympha hero,AT,Austria,83858,y,P,,DD,1
Coenonympha oedippus,AT,Austria,83858,y,P,,CR,80
Coenonympha pamphilus,AT,Austria,83858,y,P,,LC,1
Coenonympha tullia,AT,Austria,83858,y,P,,VU,30
Colias alfacariensis,AT,Austria,83858,y,P,,NT,20
Colias chrysotheme,AT,Austria,83858,y,P,,CR,80
Colias crocea,AT,Austria,83858,y,P,,NE,1
Colias erate,AT,Austria,83858,y,P,,LC,1
Colias hyale,AT,Austria,83858,y,P,,LC,1
Colias myrmidone,AT,Austria,83858,y,P,,CR,80
Colias palaeno,AT,Austria,83858,y,P,,VU,30
Colias phicomone,AT,Austria,83858,y,P,,LC,1
Cupido alcetas,AT,Austria,83858,y,P,,DD,1
Cupido argiades,AT,Austria,83858,y,P,,LC,1
Cupido decoloratus,AT,Austria,83858,y,P,,LC,1
Cupido minimus,AT,Austria,83858,y,P,,LC,1
Cupido osiris,AT,Austria,83858,y,P,,CR,80
Cyaniris semiargus,AT,Austria,83858,y,P,,LC,1
Erebia aethiops,AT,Austria,83858,y,P,,LC,1
Erebia albergana,AT,Austria,83858,y,P,,NT,20
Erebia calcarius,AT,Austria,83858,y,P,,DD,1
Erebia cassioides,AT,Austria,83858,y,P,,LC,1
Erebia claudina,AT,Austria,83858,y,P,,NT,20
Erebia epiphron,AT,Austria,83858,y,P,,NT,20
Erebia eriphyle,AT,Austria,83858,y,P,,NT,20
Erebia euryale,AT,Austria,83858,y,P,,LC,1
Erebia flavofasciata,AT,Austria,83858,y,P,,DD,1
Erebia gorge,AT,Austria,83858,y,P,,LC,1
Erebia ligea,AT,Austria,83858,y,P,,LC,1
Erebia manto,AT,Austria,83858,y,P,,LC,1
Erebia medusa,AT,Austria,83858,y,P,,NT,20
Erebia melampus,AT,Austria,83858,y,P,,LC,1
Erebia meolans,AT,Austria,83858,y,P,,VU,30
Erebia mnestra,AT,Austria,83858,y,P,,NT,20
Erebia montana,AT,Austria,83858,y,P,,NT,20
Erebia nivalis,AT,Austria,83858,y,P,,LC,1
Erebia oeme,AT,Austria,83858,y,P,,LC,1
Erebia pandrose,AT,Austria,83858,y,P,,LC,1
Erebia pharte,AT,Austria,83858,y,P,,LC,1
Erebia pluto,AT,Austria,83858,y,P,,LC,1
Erebia pronoe,AT,Austria,83858,y,P,,LC,1
Erebia stiria,AT,Austria,83858,y,P,,DD,1
Erebia styx,AT,Austria,83858,y,P,,DD,1
Erebia triarius,AT,Austria,83858,y,P,,DD,1
Erebia tyndarus,AT,Austria,83858,y,P,,LC,1
Erynnis tages,AT,Austria,83858,y,P,,LC,1
Eumedonia eumedon,AT,Austria,83858,y,P,,NT,20
Euphydryas aurinia,AT,Austria,83858,y,P,,NT,20
Euphydryas cynthia,AT,Austria,83858,y,P,,LC,1
Euphydryas intermedia,AT,Austria,83858,y,P,,DD,1
Euphydryas maturna,AT,Austria,83858,y,P,,EN,50
Fabriciana adippe,AT,Austria,83858,y,P,,NT,20
Fabriciana niobe,AT,Austria,83858,y,P,,NT,20
Favonius quercus,AT,Austria,83858,y,P,,NT,20
Glaucopsyche alexis,AT,Austria,83858,y,P,,VU,30
Gonepteryx rhamni,AT,Austria,83858,y,P,,LC,1
Hamearis lucina,AT,Austria,83858,y,P,,LC,1
Hesperia comma,AT,Austria,83858,y,P,,LC,1
Heteropterus morpheus,AT,Austria,83858,y,P,,NT,20
Hipparchia fagi,AT,Austria,83858,y,P,,EN,50
Hipparchia hermione,AT,Austria,83858,y,P,,EN,50
Hipparchia semele,AT,Austria,83858,y,P,,EN,50
Hipparchia statilinus,AT,Austria,83858,y,P,,CR,80
Hyponephele lycaon,AT,Austria,83858,y,P,,CR,80
Iphiclides podalirius,AT,Austria,83858,y,P,,NT,20
Issoria lathonia,AT,Austria,83858,y,P,,LC,1
Lasiommata maera,AT,Austria,83858,y,P,,LC,1
Lasiommata megera,AT,Austria,83858,y,P,,LC,1
Lasiommata petropolitana,AT,Austria,83858,y,P,,LC,1
Leptidea juvernica,AT,Austria,83858,y,P,,DD,1
Leptidea morsei,AT,Austria,83858,y,P,,EN,50
Leptidea sinapis,AT,Austria,83858,y,P,,DD,1
Libythea celtis,AT,Austria,83858,y,P,,NE,1
Limenitis camilla,AT,Austria,83858,y,P,,LC,1
Limenitis populi,AT,Austria,83858,y,P,,VU,30
Limenitis reducta,AT,Austria,83858,y,P,,EN,50
Lopinga achine,AT,Austria,83858,y,P,,EN,50
Lycaena alciphron,AT,Austria,83858,y,P,,EN,50
Lycaena dispar,AT,Austria,83858,y,P,,LC,1
Lycaena helle,AT,Austria,83858,y,P,,CR,80
Lycaena hippothoe,AT,Austria,83858,y,P,,NT,20
Lycaena phlaeas,AT,Austria,83858,y,P,,LC,1
Lycaena thersamon,AT,Austria,83858,y,Ex,,RE,100
