"","scientific_name","fit","lwr","upr"
"1","Aglais ichnusa",1,0.999999999999997,1
"2","Aglais io",1.07889959807551,0.638940382769887,1.51885881338113
"3","Aglais urticae",1,1,1
"4","Agriades aquilo",23.0183600257635,-37.060608075915,83.097328127442
"5","Agriades dardanus",38.1955338794088,20.1232825541191,56.2677852046986
"6","Agriades glandon",6.553258181248,-2.07901478394781,15.1855311464438
"7","Agriades optilete",24.112785453179,10.8198270550147,37.4057438513434
"8","Agriades orbitulus",6.12681729971418,-1.41064395604312,13.6642785554715
"9","Agriades pyrenaicus",1,0.999999999999999,1
"10","Agriades zullichi",50,,
"11","Anthocharis cardamines",1,1,1
"12","Anthocharis damone",17.9667281523805,-7.95168638622364,43.8851426909846
"13","Anthocharis euphenoides",6.16535081009103,-9.36690177010512,21.6976033902872
"14","Anthocharis gruneri",23.0195954143348,-3.82027932861504,49.8594701572846
"15","Apatura ilia",6.45893069161147,2.60639977911043,10.3114616041125
"16","Apatura iris",7.8454239143857,2.97208344969818,12.7187643790732
"17","Apatura metis",17.3057454201624,8.10839465118976,26.5030961891351
"18","Aphantopus hyperantus",1.05287103024441,0.60740615798532,1.49833590250349
"19","Aporia crataegi",11.7363440045579,2.40255224341627,21.0701357656995
"20","Araschnia levana",3.61284117918125,-0.73441261522947,7.96009497359197
"21","Archon apollinus",20,,
"22","Arethusana arethusa",20.35060728857,5.37131093453446,35.3299036426056
"23","Argynnis laodice",26.6843092623831,3.57614342086618,49.7924751039001
"24","Argynnis pandora",4.46375196295628,-0.116947157958599,9.04445108387117
"25","Argynnis paphia",3.56448250712805,-1.57543447188824,8.70439948614433
"26","Aricia agestis",1.9207380946524,0.309654754418343,3.53182143488646
"27","Aricia anteros",40.5690950321156,6.28747822815905,74.8507118360722
"28","Aricia artaxerxes",11.2876703119695,2.69575899741169,19.8795816265274
"29","Aricia cramera",1,1,1
"30","Aricia montensis",1,0.999999999999998,1
"31","Aricia morronensis",16.3679868185978,-29.1585415591899,61.8945151963855
"32","Aricia nicias",12.9960850557176,1.10554258426365,24.8866275271715
"33","Azanus jesous",1,,
"34","Azanus ubaldus",1,,
"35","Boloria aquilonaris",32.1753479708321,19.1628404772486,45.1878554644157
"36","Boloria chariclea",6.89909183102544,-19.8472614739456,33.6454451359964
"37","Boloria dia",2.53387342551087,-0.504715354704333,5.57246220572608
"38","Boloria eunomia",23.5944643671641,9.51857901846931,37.6703497158588
"39","Boloria euphrosyne",13.0830597880355,4.79978883099081,21.3663307450801
"40","Boloria freija",27.804596963685,-22.3278739557629,77.9370678831329
"41","Boloria frigga",20.248700785625,-14.3493537806393,54.8467553518893
"42","Boloria graeca",8.17090520809407,-0.0605357262285153,16.4023461424166
"43","Boloria improba",32.8958885079698,-4.23454061226393,70.0263176282035
"44","Boloria napaea",6.62518588782087,-0.446572348013549,13.6969441236553
"45","Boloria pales",13.0836596650417,6.22597562999539,19.9413437000879
"46","Boloria polaris",27.5533886332099,-34.497073845858,89.6038511122777
"47","Boloria selene",9.03762269736685,4.14242814814175,13.9328172465919
"48","Boloria thore",14.4884552655456,-5.81569003738849,34.7926005684796
"49","Boloria titania",38.2318033613456,15.409552954821,61.0540537678702
"50","Borbo borbonica",1,,
"51","Brenthis daphne",4.00989686876973,0.562227168893855,7.45756656864561
"52","Brenthis hecate",13.8528504640194,1.82316923199433,25.8825316960446
"53","Brenthis ino",7.18016469015435,1.1306581513897,13.229671228919
"54","Brintesia circe",8.05118112898582,2.88990900254672,13.2124532554249
"55","Cacyreus marshalli",1,1,1
"56","Callophrys avis",8.96934099574789,-30.4182068094734,48.3568888009692
"57","Callophrys rubi",2.7652845484171,0.779138196551318,4.75143090028288
"58","Carcharodus alceae",3.69542214867904,0.66246739228208,6.728376905076
"59","Carcharodus baeticus",24.6653733350124,-24.5932672399368,73.9240139099616
"60","Carcharodus floccifera",23.3239478626807,11.7084066290912,34.9394890962701
"61","Carcharodus lavatherae",33.2163202349088,17.0234971338702,49.4091433359473
"62","Carcharodus orientalis",13.2695073012855,3.0738891529924,23.4651254495787
"63","Carcharodus stauderi",1,,
"64","Carcharodus tripolinus",1,,
"65","Carterocephalus palaemon",6.0487427513748,1.50174420561934,10.5957412971303
"66","Carterocephalus silvicola",23.7164292141864,3.74141654007221,43.6914418883005
"67","Celastrina argiolus",1,1,1
"68","Charaxes jasius",4.26582982114063,-4.28580825646596,12.8174678987472
"69","Chazara briseis",41.6247151671563,25.2198845955395,58.0295457387731
"70","Chazara persephone",30,,
"71","Chazara prieuri",20,,
"72","Coenonympha arcania",6.2486913394411,-1.23678146045384,13.734164139336
"73","Coenonympha corinna",1,0.999999999999997,1
"74","Coenonympha dorus",10.237013602506,-29.378332219011,49.8523594240229
