taxonID,vernacularName,language
eurobutt-checklist:taxon:eea749686fd1f784f6da17ee3b551368,Corsican Small Tortoiseshell,en
eurobutt-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba,Peacock,en
eurobutt-checklist:taxon:b539a7ed55eb3e9e98da58bcc194ee6a,Small Tortoiseshell,en
eurobutt-checklist:taxon:f5471fb0cd39f621cc6798be5fea44aa,Arctic Blue,en
eurobutt-checklist:taxon:80df9d0fb00d1caaa84fac49d305d07b,Bosnian Blue,en
eurobutt-checklist:taxon:d97bac5d477e090d61a361463d91637a,Glandon Blue,en
eurobutt-checklist:taxon:2423374daa25a1852b2e4c13429f7241,Cranberry Blue,en
eurobutt-checklist:taxon:047169688695b7c93c5dddc33442bda5,Alpine Blue,en
eurobutt-checklist:taxon:c081ccd33673b935e1865adc664cb27e,Gavarnie Blue,en
eurobutt-checklist:taxon:e111e4501335b0a7431bb8e43f0638d2,Zullich's Blue,en
eurobutt-checklist:taxon:8c75b24bc8cfe94157cc7cf2878c218f,Orange-tip,en
eurobutt-checklist:taxon:3e36f515332fea7cf3ea2ee3e85372bb,Eastern Orange-tip,en
eurobutt-checklist:taxon:1be1fed97ea2529ab9042d02798f242f,Provence Orange-tip,en
eurobutt-checklist:taxon:ef999ac94ef1be8517fc3e9a9a4e95cf,Grüner's Orange-tip,en
eurobutt-checklist:taxon:3d946893006f87e5049eed90547314f4,Lesser Purple Emperor,en
eurobutt-checklist:taxon:35a1b9db83778501c2bc8000c29b4901,Purple Emperor,en
eurobutt-checklist:taxon:4329becfd5d68a3f8318bc5ba986f500,Freyer's Purple Emperor,en
eurobutt-checklist:taxon:f42bde84f0c89afb58ce3772acecc60b,Ringlet,en
eurobutt-checklist:taxon:971fecf94304a1e6f5712d41252409b0,Black-veined White,en
eurobutt-checklist:taxon:ce8388f52b4d72ac53d462e45ec3df41,Map,en
eurobutt-checklist:taxon:705d2bfbffd13e0e946b09e01efc7029,False Apollo,en
eurobutt-checklist:taxon:aa0a1aa01ec36861389115a339a755c7,False Grayling,en
eurobutt-checklist:taxon:f95e4522a0c4e4b592e26e0d0b6dd584,Pallas' Fritillary,en
eurobutt-checklist:taxon:9423a461e3c0fb54c0016b0fb6b21905,Cardinal,en
eurobutt-checklist:taxon:7f6f61de2972bdf521bb7a3a00229156,Silver-washed Fritillary,en
eurobutt-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517,Brown Argus,en
eurobutt-checklist:taxon:2c8ec7c9230f4636ba467dd335b29d84,Blue Argus,en
eurobutt-checklist:taxon:ae26f9cb1079e1f1fa4bc0f35afb22e7,Northern Brown Argus,en
eurobutt-checklist:taxon:32e789a2cb9dc81add6fef82b83d1e59,Southern Brown Argus,en
eurobutt-checklist:taxon:eb80cfc3560e8887da1ee1f019c3b888,Southern Mountain Argus,en
eurobutt-checklist:taxon:1986ed88b63a4fb1065ed824407f7848,Spanish Argus,en
eurobutt-checklist:taxon:f6298712c76f897946daf21ee89b31e6,Silvery Argus,en
eurobutt-checklist:taxon:7f3c0ebfd989a9ca4b5cd1f4dcf18b47,African Babul Blue,en
eurobutt-checklist:taxon:131848e170bed388df69a56d32d2819b,Bright Babul Blue,en
