scientific_name,phylogenetic_order,family,subfamily,genus,specific_epithet,authorship,english_name,taxon_comments,habitats_directive,spec_status,edge_of_range
Boloria selene,277,Nymphalidae,Heliconiinae,Boloria,selene,"([Denis & Schiffermüller], 1775)",Small Pearl-bordered Fritillary,,,,
Boloria selenis,283,Nymphalidae,Heliconiinae,Boloria,selenis,"(Eversmann, 1837)",suggestion: XX Fritillary,,,,
Boloria thore,276,Nymphalidae,Heliconiinae,Boloria,thore,"(Hübner, 1804)",Thor's Fritillary,,,,
Boloria titania,285,Nymphalidae,Heliconiinae,Boloria,titania,"(Esper, 1793)",Titania's Fritillary,,,SPEC2,
Boloria tritonia,274,Nymphalidae,Heliconiinae,Boloria,tritonia,"(Böber, 1812)",suggestion: XX Fritillary,,,,EoR
Borbo borbonica,20,Hesperiidae,Hesperiinae,Borbo,borbonica,"(Boisduval, 1833)",Zeller's Skipper,,,,
Brenthis daphne,260,Nymphalidae,Heliconiinae,Brenthis,daphne,"(Bergsträsser, 1780)",Marbled Fritillary,,,,
Brenthis hecate,258,Nymphalidae,Heliconiinae,Brenthis,hecate,"([Denis & Schiffermüller], 1775)",Twin-spot Fritillary,,,,
Brenthis ino,259,Nymphalidae,Heliconiinae,Brenthis,ino,"(Rottemburg, 1775)",Lesser Marbled Fritillary,,,,
Brintesia circe,396,Nymphalidae,Satyrinae,Brintesia,circe,"(Fabricius, 1775)",Great Banded Grayling,,,,
Cacyreus marshalli,158,Lycaenidae,Polyommatinae,Cacyreus,marshalli,"Butler, 1898",Geranium Bronze,,,,
Callophrys avis,141,Lycaenidae,Theclinae,Callophrys,avis,"Chapman, 1909",Chapman's Green Hairstreak,,,,
Callophrys chalybeitincta,144,Lycaenidae,Theclinae,Callophrys,chalybeitincta,"Sovinsky, 1905",Sovinsky's Green Hairstreak,,,,EoR
Callophrys rubi,143,Lycaenidae,Theclinae,Callophrys,rubi,"(Linnaeus, 1758)",Green Hairstreak,,,,
Callophrys suaveola,142,Lycaenidae,Theclinae,Callophrys,suaveola,"(Staudinger, 1881)",Alpine Green Hairstreak,,,,EoR
Carcharodus alceae,36,Hesperiidae,Pyrginae,Carcharodus,alceae,"(Esper, 1780)",Mallow Skipper,,,,
Carcharodus baeticus,44,Hesperiidae,Pyrginae,Carcharodus,baeticus,"(Rambur, 1839)",Southern Marbled Skipper,,,,
Carcharodus floccifera,42,Hesperiidae,Pyrginae,Carcharodus,floccifera,"(Zeller, 1847)",Tufted Marbled Skipper,,,SPEC2,
Carcharodus lavatherae,40,Hesperiidae,Pyrginae,Carcharodus,lavatherae,"(Esper, 1783)",Marbled Skipper,,,SPEC2,
Carcharodus orientalis,41,Hesperiidae,Pyrginae,Carcharodus,orientalis,"Reverdin, 1913",Oriental Marbled Skipper,,,,
Carcharodus stauderi,43,Hesperiidae,Pyrginae,Carcharodus,stauderi,"Reverdin, 1913",False Marbled Skipper,,,,EoR
Carcharodus tripolinus,35,Hesperiidae,Pyrginae,Carcharodus,tripolinus,"(Verity, 1925)",False Mallow Skipper,,,,
Carterocephalus palaemon,18,Hesperiidae,Heteropterinae,Carterocephalus,palaemon,"(Pallas, 1771)",Chequered Skipper,,,,
Carterocephalus silvicola,17,Hesperiidae,Heteropterinae,Carterocephalus,silvicola,"(Meigen, 1829)",Northern Chequered Skipper,,,,
Catopsilia florella,73,Pieridae,Coliadinae,Catopsilia,florella,"(Fabricius, 1775)",African Migrant,,,,EoR
Celastrina argiolus,159,Lycaenidae,Polyommatinae,Celastrina,argiolus,"(Linnaeus, 1758)",Holly Blue,,,,
Charaxes jasius,331,Nymphalidae,Charaxinae,Charaxes,jasius,"(Linnaeus, 1767)",Two-tailed Pasha,,,,
Chazara briseis,410,Nymphalidae,Satyrinae,Chazara,briseis,"(Linnaeus, 1764)",The Hermit,,,SPEC2,
Chazara persephone,412,Nymphalidae,Satyrinae,Chazara,persephone,"(Hübner, 1805)",Great Steppe Grayling,,,,
Chazara prieuri,411,Nymphalidae,Satyrinae,Chazara,prieuri,"(Pierret, 1837)",Southern Hermit,,,,
Cigaritis acamas,134,Lycaenidae,Aphnaeinae,Cigaritis,acamas,"(Klug, 1834)",Levantine Leopard,,,,EoR
Coenonympha amaryllis,339,Nymphalidae,Satyrinae,Coenonympha,amaryllis,"(Stoll, 1782)",suggestion: Stoll's Heath,,,,EoR
Coenonympha arcania,346,Nymphalidae,Satyrinae,Coenonympha,arcania,"(Linnaeus, 1760)",Pearly Heath,,,,
Coenonympha corinna,341,Nymphalidae,Satyrinae,Coenonympha,corinna,"(Hübner, 1804)",Corsican Heath,,,,
Coenonympha dorus,334,Nymphalidae,Satyrinae,Coenonympha,dorus,"(Esper, 1782)",Dusky Heath,,,,
Coenonympha gardetta,344,Nymphalidae,Satyrinae,Coenonympha,gardetta,"(de Prunner, 1798)",Alpine Heath,,,,
Coenonympha glycerion,340,Nymphalidae,Satyrinae,Coenonympha,glycerion,"(Borkhausen, 1788)",Chestnut Heath,,,,
Coenonympha hero,343,Nymphalidae,Satyrinae,Coenonympha,hero,"(Linnaeus, 1760)",Scarce Heath,,IV,SPEC1,
Coenonympha leander,342,Nymphalidae,Satyrinae,Coenonympha,leander,"(Esper, 1784)",Russian Heath,,,,
Coenonympha oedippus,333,Nymphalidae,Satyrinae,Coenonympha,oedippus,"(Fabricius, 1787)",False Ringlet,,II+IV,SPEC1,
Coenonympha orientalis,345,Nymphalidae,Satyrinae,Coenonympha,orientalis,"Rebel, 1909",Balkan Heath,,,SPEC1,
Coenonympha pamphilus,336,Nymphalidae,Satyrinae,Coenonympha,pamphilus,"(Linnaeus, 1758)",Small Heath,,,,
Coenonympha phryne,332,Nymphalidae,Satyrinae,Coenonympha,phryne,"(Pallas, 1771)",Siberian Brown,,,SPEC1,
Coenonympha rhodopensis,338,Nymphalidae,Satyrinae,Coenonympha,rhodopensis,"Elwes, 1900",Eastern Large Heath,,,,
Coenonympha thyrsis,335,Nymphalidae,Satyrinae,Coenonympha,thyrsis,"(Freyer, 1845)",Cretan Small Heath,,,,
Coenonympha tullia,337,Nymphalidae,Satyrinae,Coenonympha,tullia,"(Müller, 1764)",Large Heath,,,SPEC1,
Colias alfacariensis,75,Pieridae,Coliadinae,Colias,alfacariensis,"Ribbe, 1905",Berger's Clouded Yellow,,,,
Colias aurorina,77,Pieridae,Coliadinae,Colias,aurorina,"Herrich-Schäffer, 1850",Greek Clouded Yellow,,,,
Colias caucasica,82,Pieridae,Coliadinae,Colias,caucasica,"Staudinger, 1871",Balkan Clouded Yellow,,,,
Colias chrysotheme,78,Pieridae,Coliadinae,Colias,chrysotheme,"(Esper, 1781)",Lesser Clouded Yellow,,,SPEC1,
Colias crocea,80,Pieridae,Coliadinae,Colias,crocea,"(Geoffroy, 1785)",Clouded Yellow,,,,
Colias erate,79,Pieridae,Coliadinae,Colias,erate,"(Esper, 1805)",Eastern Pale Clouded Yellow,,,,
Colias hecla,85,Pieridae,Coliadinae,Colias,hecla,"Lefèbvre, 1836",Northern Clouded Yellow,,,SPEC2,
Colias hyale,74,Pieridae,Coliadinae,Colias,hyale,"(Linnaeus, 1758)",Pale Clouded Yellow,,,,
Colias myrmidone,81,Pieridae,Coliadinae,Colias,myrmidone,"(Esper, 1781)",Danube Clouded Yellow,,II+IV,SPEC1,
Colias palaeno,83,Pieridae,Coliadinae,Colias,palaeno,"(Linnaeus, 1760)",Moorland Clouded Yellow,,,SPEC4,
Colias phicomone,76,Pieridae,Coliadinae,Colias,phicomone,"(Esper, 1780)",Mountain Clouded Yellow,,,SPEC2,
Colias tyche,84,Pieridae,Coliadinae,Colias,tyche,"(Böber, 1812)",Pale Arctic Clouded Yellow,,,SPEC3,
Colotis evagore,86,Pieridae,Pierinae,Colotis,evagore,"(Klug, 1829)",Desert Orange-tip,,,,
Cupido alcetas,185,Lycaenidae,Polyommatinae,Cupido,alcetas,"(Hoffmansegg, 1804)",Provençal Short-tailed Blue,,,,
Cupido argiades,182,Lycaenidae,Polyommatinae,Cupido,argiades,"(Pallas, 1771)",Short-tailed Blue,,,,
Cupido decoloratus,184,Lycaenidae,Polyommatinae,Cupido,decoloratus,"(Staudinger, 1886)",Eastern Short-tailed Blue,,,SPEC2,
Cupido lorquinii,188,Lycaenidae,Polyommatinae,Cupido,lorquinii,"(Herrich-Schäffer, 1850)",Lorquin's Blue,,,,
Cupido minimus,187,Lycaenidae,Polyommatinae,Cupido,minimus,"(Fuessly, 1775)",Little Blue,,,,
Cupido osiris,186,Lycaenidae,Polyommatinae,Cupido,osiris,"(Meigen, 1829)",Osiris Blue,,,,
Cyaniris semiargus,210,Lycaenidae,Polyommatinae,Cyaniris,semiargus,"(Rottemburg, 1775)",Mazarine Blue,,,,
Cyclyrius webbianus,154,Lycaenidae,Polyommatinae,Cyclyrius,webbianus,"(Brullé, 1839)",Canary Blue,,,,
Danaus chrysippus,330,Nymphalidae,Danainae,Danaus,chrysippus,"(Linnaeus, 1758)",Plain Tiger,,,,EoR
Danaus plexippus,329,Nymphalidae,Danainae,Danaus,plexippus,"(Linnaeus, 1758)",Monarch,,,,EoR
Erebia aethiopella,472,Nymphalidae,Satyrinae,Erebia,aethiopella,"(Hoffmansegg, 1806)",False Mnestra Ringlet,,,,
Erebia aethiops,482,Nymphalidae,Satyrinae,Erebia,aethiops,"(Esper, 1777)",Scotch Argus,,,,
Erebia albergana,476,Nymphalidae,Satyrinae,Erebia,albergana,"(de Prunner, 1798)",Almond-eyed Ringlet,,,,
Erebia arvernensis,461,Nymphalidae,Satyrinae,Erebia,arvernensis,"Oberthür, 1908",Western Brassy Ringlet,,,,
Erebia calcarius,460,Nymphalidae,Satyrinae,Erebia,calcarius,"Lorković, 1953",Lorkovic's Brassy Ringlet,,II+IV,,
Erebia callias,455,Nymphalidae,Satyrinae,Erebia,callias,"Edwards, 1871",Colorado Alpine,,,,EoR
Erebia cassioides,457,Nymphalidae,Satyrinae,Erebia,cassioides,"(Hohenwarth, 1792)",Common Brassy Ringlet,,,,
Erebia christi,484,Nymphalidae,Satyrinae,Erebia,christi,"Rätzer, 1890",Rätzer's Ringlet,,II+IV,SPEC1,
Erebia claudina,450,Nymphalidae,Satyrinae,Erebia,claudina,"(Borkhausen, 1789)",White-speck Ringlet,,,SPEC2,
Erebia cyclopius,444,Nymphalidae,Satyrinae,Erebia,cyclopius,"(Eversmann, 1844)",suggestion: One-eyed Ringlet,,,,EoR
Erebia dabanensis,448,Nymphalidae,Satyrinae,Erebia,dabanensis,"Erschoff, 1872",Four-dotted Alpine,,,,EoR
Erebia disa,446,Nymphalidae,Satyrinae,Erebia,disa,"(Thunberg, 1791)",Arctic Ringlet,,,,
Erebia discoidalis,442,Nymphalidae,Satyrinae,Erebia,discoidalis,"(Kirby, 1837)",Red-disked Alpine,,,,
Erebia edda,440,Nymphalidae,Satyrinae,Erebia,edda,"Ménétriés, 1851",suggestion: XX Ringlet,,,,EoR
Erebia embla,445,Nymphalidae,Satyrinae,Erebia,embla,"(Thunberg, 1791)",Lapland Ringlet,,,SPEC3,
Erebia epiphron,486,Nymphalidae,Satyrinae,Erebia,epiphron,"(Knoch, 1783)",Mountain Ringlet,,,,
Erebia epistygne,467,Nymphalidae,Satyrinae,Erebia,epistygne,"(Hübner, 1819)",Spring Ringlet,,,SPEC2,
Erebia eriphyle,466,Nymphalidae,Satyrinae,Erebia,eriphyle,"(Freyer, 1836)",Eriphyle Ringlet,,,,
Erebia euryale,468,Nymphalidae,Satyrinae,Erebia,euryale,"(Esper, 1805)",Large Ringlet,,,,
Erebia fasciata,441,Nymphalidae,Satyrinae,Erebia,fasciata,"Butler, 1868",Banded Alpine,,,,EoR
Erebia flavofasciata,487,Nymphalidae,Satyrinae,Erebia,flavofasciata,"Heyne, 1895",Yellow-banded Ringlet,,,SPEC2,
Erebia gorge,463,Nymphalidae,Satyrinae,Erebia,gorge,"(Hübner, 1804)",Silky Ringlet,,,,
Erebia gorgone,473,Nymphalidae,Satyrinae,Erebia,gorgone,"Boisduval, 1833",Gavarnie Ringlet,,,,
Erebia hispania,453,Nymphalidae,Satyrinae,Erebia,hispania,"Butler, 1868",Spanish Brassy Ringlet,,,,
Erebia jeniseiensis,449,Nymphalidae,Satyrinae,Erebia,jeniseiensis,"Trybom, 1877",suggestion: XX Ringlet,,,,EoR
Erebia lefebvrei,494,Nymphalidae,Satyrinae,Erebia,lefebvrei,"(Boisduval, 1828)",Lefèbvre's Ringlet,,,,
Erebia ligea,470,Nymphalidae,Satyrinae,Erebia,ligea,"(Linnaeus, 1758)",Arran Brown,,,,
Erebia manto,451,Nymphalidae,Satyrinae,Erebia,manto,"([Denis & Schiffermüller], 1775)",Yellow-spotted Ringlet,,,SPEC3,
Erebia medusa,481,Nymphalidae,Satyrinae,Erebia,medusa,"([Denis & Schiffermüller], 1775)",Woodland Ringlet,,,,
Erebia melampus,478,Nymphalidae,Satyrinae,Erebia,melampus,"(Fuessly, 1775)",Lesser Mountain Ringlet,,,,
Erebia melas,493,Nymphalidae,Satyrinae,Erebia,melas,"(Herbst, 1796)",Black Ringlet,,,,
Erebia meolans,447,Nymphalidae,Satyrinae,Erebia,meolans,"(de Prunner, 1798)",Piedmont Ringlet,,,,
Erebia mnestra,475,Nymphalidae,Satyrinae,Erebia,mnestra,"(Hübner, 1804)",Mnestra's Ringlet,,,,
Erebia montana,488,Nymphalidae,Satyrinae,Erebia,montana,"(de Prunner, 1798)",Marbled Ringlet,,,,
Erebia neleus,459,Nymphalidae,Satyrinae,Erebia,neleus,"(Freyer, 1832)",,suggestion: XX Ringlet,,,
Erebia neoridas,496,Nymphalidae,Satyrinae,Erebia,neoridas,"(Boisduval, 1828)",Autumn Ringlet,,,,
Erebia nivalis,458,Nymphalidae,Satyrinae,Erebia,nivalis,"Lorković & Lesse, 1954",De Lesse's Brassy Ringlet,,,,
Erebia oeme,462,Nymphalidae,Satyrinae,Erebia,oeme,"(Hübner, 1804)",Bright-eyed Ringlet,,,,
Erebia orientalis,485,Nymphalidae,Satyrinae,Erebia,orientalis,"Elwes, 1900",Bulgarian Ringlet,,,,
Erebia ottomana,452,Nymphalidae,Satyrinae,Erebia,ottomana,"Herrich-Schäffer, 1847",Ottoman Brassy Ringlet,,,,
Erebia palarica,469,Nymphalidae,Satyrinae,Erebia,palarica,"Chapman, 1905",Chapman's Ringlet,,,,
Erebia pandrose,465,Nymphalidae,Satyrinae,Erebia,pandrose,"(Borkhausen, 1788)",Dewy Ringlet,,,,
Erebia pharte,483,Nymphalidae,Satyrinae,Erebia,pharte,"(Hübner, 1804)",Blind Ringlet,,,,
Erebia pluto,471,Nymphalidae,Satyrinae,Erebia,pluto,"(de Prunner, 1798)",Sooty Ringlet,,,,
Erebia polaris,480,Nymphalidae,Satyrinae,Erebia,polaris,"Staudinger, 1861",Arctic Woodland Ringlet,,II,,
Erebia pronoe,492,Nymphalidae,Satyrinae,Erebia,pronoe,"(Esper, 1780)",Water Ringlet,,,,
Erebia rhodopensis,474,Nymphalidae,Satyrinae,Erebia,rhodopensis,"Nicholl, 1900",Nicholl's Ringlet,,,,
Erebia rondoui,454,Nymphalidae,Satyrinae,Erebia,rondoui,"Oberthür, 1908",Pyrenees Brassy Ringlet,,,,
Erebia rossii,443,Nymphalidae,Satyrinae,Erebia,rossii,"(Curtis, 1835)",Arctic Alpine Ringlet,,,,
Erebia scipio,491,Nymphalidae,Satyrinae,Erebia,scipio,"Boisduval, 1833",Larche Ringlet,,,,
Erebia sthennyo,464,Nymphalidae,Satyrinae,Erebia,sthennyo,"Graslin, 1850",False Dewy Ringlet,,,,
Erebia stiria,490,Nymphalidae,Satyrinae,Erebia,stiria,"(Godart, 1824)",Styrian Ringlet,,,,
Erebia styx,489,Nymphalidae,Satyrinae,Erebia,styx,"(Freyer, 1834)",Stygian Ringlet,,,,
Erebia sudetica,477,Nymphalidae,Satyrinae,Erebia,sudetica,"Staudinger, 1861",Sudeten Ringlet,,IV,SPEC1,
Erebia triarius,479,Nymphalidae,Satyrinae,Erebia,triarius,"(de Prunner, 1798)",de Prunner's Ringlet,,,,
Erebia tyndarus,456,Nymphalidae,Satyrinae,Erebia,tyndarus,"(Esper, 1781)",Swiss Brassy Ringlet,,,,
Erebia zapateri,495,Nymphalidae,Satyrinae,Erebia,zapateri,"Oberthür, 1875",Zapater's Ringlet,,,,
Erynnis marloyi,46,Hesperiidae,Pyrginae,Erynnis,marloyi,"(Boisduval, 1834)",Inky Skipper,,,,
Erynnis tages,45,Hesperiidae,Pyrginae,Erynnis,tages,"(Linnaeus, 1758)",Dingy Skipper,,,,
Euchloe ausonia,110,Pieridae,Pierinae,Euchloe,ausonia,"(Hübner, 1804)",Eastern Dappled White,,,,
Euchloe bazae,113,Pieridae,Pierinae,Euchloe,bazae,"Fabiano, 1993",Spanish Greenish Black-tip,,,SPEC1,
Euchloe belemia,106,Pieridae,Pierinae,Euchloe,belemia,"(Esper, 1800)",Green-striped White,,,,
Euchloe charlonia,111,Pieridae,Pierinae,Euchloe,charlonia,"(Donzel, 1842)",Greenish Black-tip,,,,EoR
Euchloe crameri,108,Pieridae,Pierinae,Euchloe,crameri,"Butler, 1869",Western Dappled White,,,,
Euchloe eversi,103,Pieridae,Pierinae,Euchloe,eversi,"Stamm, 1963",Tenerife Green-striped White,,,,
Euchloe grancanariensis,104,Pieridae,Pierinae,Euchloe,grancanariensis,"Acosta, 2008",Gran Canaria Green-striped White,,,,
Euchloe hesperidum,105,Pieridae,Pierinae,Euchloe,hesperidum,"Rothschild, 1913",Fuerteventura Green-striped White,,,,
Euchloe insularis,107,Pieridae,Pierinae,Euchloe,insularis,"(Staudinger, 1861)",Corsican Dappled White,,,,
Euchloe penia,112,Pieridae,Pierinae,Euchloe,penia,"(Freyer, 1851)",Eastern Greenish Black-tip,,,,
Euchloe simplonia,109,Pieridae,Pierinae,Euchloe,simplonia,"(Freyer, 1829)",Mountain Dappled White,,,,
Euchloe tagis,102,Pieridae,Pierinae,Euchloe,tagis,"(Hübner, 1804)",Portuguese Dappled White,,,,
Eumedonia eumedon,203,Lycaenidae,Polyommatinae,Eumedonia,eumedon,"(Esper, 1780)",Geranium argus,,,,
Euphydryas aurinia,307,Nymphalidae,Melitaeinae,Euphydryas,aurinia,"(Rottemburg, 1775)",Marsh Fritillary,,II,SPEC4,
Euphydryas cynthia,308,Nymphalidae,Melitaeinae,Euphydryas,cynthia,"([Denis & Schiffermüller], 1775)",Cynthia's Fritillary,,,,
Euphydryas desfontainii,306,Nymphalidae,Melitaeinae,Euphydryas,desfontainii,"(Godart, 1819)",Spanish Fritillary,,,SPEC2,
Euphydryas iduna,309,Nymphalidae,Melitaeinae,Euphydryas,iduna,"(Dalman, 1816)",Lapland Fritillary,,,SPEC2,
Euphydryas intermedia,311,Nymphalidae,Melitaeinae,Euphydryas,intermedia,"(Ménétriés, 1859)",Asian Fritillary,,,,
Euphydryas maturna,310,Nymphalidae,Melitaeinae,Euphydryas,maturna,"(Linnaeus, 1758)",Scarce Fritillary,,II+IV,SPEC1,
Fabriciana adippe,267,Nymphalidae,Heliconiinae,Fabriciana,adippe,"([Denis & Schiffermüller], 1775)",High Brown Fritillary,,,,
Fabriciana elisa,265,Nymphalidae,Heliconiinae,Fabriciana,elisa,"(Godart, 1823)",Corsican Fritillary,,IV,,
Fabriciana niobe,266,Nymphalidae,Heliconiinae,Fabriciana,niobe,"(Linnaeus, 1758)",Niobe Fritillary,,,SPEC3,
Favonius quercus,136,Lycaenidae,Theclinae,Favonius,quercus,"(Linnaeus, 1758)",Purple Hairstreak,,,,
Freyeria trochylus,190,Lycaenidae,Polyommatinae,Freyeria,trochylus,"(Freyer, 1844)",Grass Jewel,,,,
Gegenes nostrodamus,22,Hesperiidae,Hesperiinae,Gegenes,nostrodamus,"(Fabricius, 1793)",Mediterranean Skipper,,,,
Gegenes pumilio,21,Hesperiidae,Hesperiinae,Gegenes,pumilio,"(Hoffmansegg, 1804)",Pigmy Skipper,,,,
Glabroculus cyane,211,Lycaenidae,Polyommatinae,Glabroculus,cyane,"(Eversmann, 1837)",suggestion:,,,,EoR
Glaucopsyche alexis,179,Lycaenidae,Polyommatinae,Glaucopsyche,alexis,"(Poda, 1761)",Green-underside Blue,,,SPEC3,
Glaucopsyche melanops,177,Lycaenidae,Polyommatinae,Glaucopsyche,melanops,"(Boisduval, 1828)",Black-eyed Blue,,,,
Glaucopsyche paphos,178,Lycaenidae,Polyommatinae,Glaucopsyche,paphos,"Chapman, 1920",Paphos Blue,,,,
Gonepteryx cleobule,69,Pieridae,Coliadinae,Gonepteryx,cleobule,"(Hübner, 1831)",Canary Brimstone,,,SPEC1,
Gonepteryx cleopatra,70,Pieridae,Coliadinae,Gonepteryx,cleopatra,"(Linnaeus, 1767)",Cleopatra,,,,
Gonepteryx farinosa,72,Pieridae,Coliadinae,Gonepteryx,farinosa,"(Zeller, 1847)",Powdered Brimstone,,,,
Gonepteryx maderensis,71,Pieridae,Coliadinae,Gonepteryx,maderensis,"Felder, 1862",Madeira Brimstone,,,SPEC1,
Gonepteryx rhamni,68,Pieridae,Coliadinae,Gonepteryx,rhamni,"(Linnaeus, 1758)",Brimstone,,,,
Hamearis lucina,120,Riodinidae,Nemeobiinae,Hamearis,lucina,"(Linnaeus, 1758)",Duke Of Burgundy,,,SPEC3,
