country_code,rlc,rlc_numeric
AD,CR,80
AD,DD,1
AD,EN,50
AD,LC,1
AD,NT,20
AD,VU,30
AL,CR,80
AL,EN,50
AL,NT,20
AL,Unknown,1
AL,VU,30
AT,CR,80
AT,DD,1
AT,EN,50
AT,LC,1
AT,NE,
AT,NT,20
AT,RE,100
AT,Unknown,1
AT,VU,30
BA,CR,80
BA,DD,1
BA,EN,50
BA,RE,100
BA,LC,1
BA,NT,20
BA,Unknown,1
BA,VU,30
BE,CR,80
BE,DD,1
BE,EN,50
BE,LC,1
BE,NE,
BE,NT,20
BE,RE,100
BE,VU,30
BG,CR,80
BG,DD,1
BG,EN,50
BG,LC,1
BG,NE,
BG,NT,20
BG,RE,100
BG,Unknown,1
BG,VU,30
BY,CR,80
BY,DD,1
BY,EN,50
BY,LC,1
BY,NT,20
BY,RE,100
BY,Unknown,1
BY,VU,30
CH,CR,80
CH,EN,50
CH,LC,1
CH,NT,20
CH,NtA,
CH,RE,100
CH,Unknown,1
CH,VU,30
CZ,CR,80
CZ,EN,50
CZ,LC,1
CZ,NT,20
CZ,RE,100
CZ,VU,30
DE,CR,80
DE,DD,1
DE,EN,50
DE,LC,1
DE,NE,
DE,NT,20
DE,R,20
DE,RE,100
DE,VU,30
DK,CR,80
DK,EN,50
DK,LC,1
DK,NT,20
DK,NtA,
DK,RE,100
DK,VU,30
ES,EN,50
ES,LC,1
ES,NE,
ES,NT,20
ES,VU,30
FI,CR,80
FI,EN,50
FI,LC,1
FI,NT,20
FI,Unknown,1
FI,VU,30
FR,CR,80
FR,DD,1
FR,EN,50
FR,LC,1
FR,NT,20
FR,Unknown,1
FR,VU,30
GB,CR,80
GB,EN,50
GB,LC,1
GB,NT,20
GB,RE,100
GB,VU,30
GR,DD,1
GR,EN,50
GR,LC,1
GR,NT,20
GR,NtA,
GR,Unknown,1
GR,VU,30
HR,CR,80
HR,DD,1
HR,EN,50
HR,LC,1
HR,NT,20
HR,NtA,
HR,Unknown,1
HR,VU,30
HU,CR,80
HU,DD,1
HU,EN,50
HU,LC,1
HU,NT,20
HU,RE,100
HU,VU,30
IE,DD,1
IE,EN,50
IE,LC,1
IE,NE,
IE,NT,20
IE,VU,30
IT,CR,80
IT,DD,1
IT,EN,50
IT,LC,1
IT,NT,20
IT,NtA,
IT,RE,100
IT,VU,30
LT,CR,80
LT,DD,1
LT,NT,20
LT,RE,100
LT,Unknown,1
LT,VU,30
LU,CR,80
LU,DD,1
LU,EN,50
LU,LC,1
LU,NT,20
LU,NtA,
LU,RE,100
LU,Unknown,1
LU,VU,30
LV,Unknown,1
MK,EN,50
MK,NT,20
MK,Unknown,1
MK,VU,30
NL,CR,80
NL,EN,50
NL,LC,1
NL,NE,
NL,NT,20
NL,RE,100
NL,Unknown,1
NL,VU,30
NO,CR,80
NO,EN,50
NO,LC,1
NO,NT,20
NO,NtA,
NO,VU,30
PL,CR,80
PL,DD,1
PL,EN,50
PL,LC,1
PL,NT,20
PL,RE,100
PL,Unknown,1
PL,VU,30
RO,CR,80
RO,DD,1
RO,EN,50
RO,LC,1
RO,NT,20
RO,RE,100
RO,VU,30
RS,DD,1
RS,EN,50
RS,LC,1
RS,NT,20
RS,RE,100
RS,Unknown,1
RS,Unknown/EN?,1
RS,VU,30
SE,CR,80
SE,EN,50
SE,LC,1
SE,NT,20
SE,NtA,
SE,RE,100
SE,VU,30
SI,EN,50
SI,LC,1
SI,NT,20
SI,RE,100
SI,Unknown,1
SI,VU,30
SK,DD,1
SK,EN,50
SK,LC,1
SK,NE,
SK,RE,100
SK,VU,30
