scientific_name_regional,scientific_name,region_code,rlc,status,endemic,comments,use
Anthocharis cardamines,Anthocharis cardamines,PT,NRLA,P,,,y
Anthocharis cardamines,Anthocharis cardamines,RO,LC,P,,,y
Anthocharis cardamines,Anthocharis cardamines,RS,LC,P,,,y
Anthocharis cardamines,Anthocharis cardamines,RU,NRLA,P,,,y
Anthocharis cardamines,Anthocharis cardamines,SE,LC,P,,,y
Anthocharis cardamines,Anthocharis cardamines,SI,LC,P,,,y
Anthocharis cardamines,Anthocharis cardamines,SK,LC,P,,,y
Anthocharis cardamines,Anthocharis cardamines,UA,LC,P,,,y
Anthocharis damone,Anthocharis damone,AL,Unknown,P,,Micevski et al. (2015),y
Anthocharis damone,Anthocharis damone,EU27,LC,P,,,y
Anthocharis damone,Anthocharis damone,EUR,LC,P,,,y
Anthocharis damone,Anthocharis damone,GR,NT,P,,,y
Anthocharis damone,Anthocharis damone,IT,LC,P,,,y
Anthocharis damone,Anthocharis damone,MK,VU,P,,,y
Anthocharis damone,Anthocharis damone,RS,EN,P,,Unknown in 2003; Drindic et al. (2017),y
Anthocharis euphenoides,Anthocharis euphenoides,AD,LC,P,,,y
Anthocharis euphenoides,Anthocharis euphenoides,CH,NtA,I,,Not a resident according to Goran Dusej,n
Anthocharis euphenoides,Anthocharis euphenoides,ES,NE,P,,,y
Anthocharis euphenoides,Anthocharis euphenoides,EU27,LC,P,,,y
Anthocharis euphenoides,Anthocharis euphenoides,EUR,LC,P,EUR,,y
Anthocharis euphenoides,Anthocharis euphenoides,FR,LC,P,,,y
Anthocharis euphenoides,Anthocharis euphenoides,IT,NT,P,,,y
Anthocharis euphenoides,Anthocharis euphenoides,MT,NRLA,A,,Misidentification,n
Anthocaris euphenoides,Anthocharis euphenoides,PT,NRLA,P,,,y
Anthocharis gruneri,Anthocharis gruneri,AL,VU,P,,,y
Anthocharis gruneri,Anthocharis gruneri,BG,VU,P,,,y
Anthocharis gruneri,Anthocharis gruneri,EU27,LC,P,,,y
Anthocharis gruneri,Anthocharis gruneri,EUR,LC,P,,,y
Anthocharis gruneri,Anthocharis gruneri,GR,LC,P,,,y
Anthocharis gruneri,Anthocharis gruneri,HU,NRLA,A,,Comment Rudi Verovnik: questionable,n
Anthocharis gruneri,Anthocharis gruneri,MK,Unknown,P,,,y
Anthocharis gruneri,Anthocharis gruneri,RS,EN,P,,Unknown in 2003,y
Apatura ilia,Apatura ilia,AD,DD,P,,,y
Apatura ilia,Apatura ilia,AL,VU,P,,,y
Apatura ilia,Apatura ilia,AT,NT,P,,,y
Apatura ilia,Apatura ilia,BA,NT,P,,,y
Apatura ilia,Apatura ilia,BE,LC,P,,,y
Apatura ilia,Apatura ilia,BG,LC,P,,,y
Apatura ilia,Apatura ilia,BY,Unknown,P,,,y
Apatura ilia,Apatura ilia,CH,VU,P,,,y
Apatura ilia,Apatura ilia,CZ,NE,P,,,y
Apatura ilia,Apatura ilia,DE,NT,P,,,y
Apatura ilia,Apatura ilia,DK,NtA,P,,Present according to Ole Karsholt,y
Apatura ilia,Apatura ilia,EE,LC,P,,,y
Apatura ilia,Apatura ilia,ES,NE,P,,,y
Apatura ilia,Apatura ilia,EU27,LC,P,,,y
Apatura ilia,Apatura ilia,EUR,LC,P,,,y
Apatura ilia,Apatura ilia,FI,LC,P,,,y
Apatura ilia,Apatura ilia,FR,LC,P,,,y
Apatura ilia,Apatura ilia,GR,LC,P,,,y
Apatura ilia,Apatura ilia,HR,NT,P,,,y
Apatura ilia,Apatura ilia,HU,LC,P,,,y
Apatura ilia,Apatura ilia,IT,LC,P,,,y
Apatura ilia,Apatura ilia,LI,NRLA,P,,,y
Apatura ilia,Apatura ilia,LT,LC,P,,LC on new Red List in prep,y
Apatura ilia,Apatura ilia,LU,VU,P,,,y
Apatura ilia,Apatura ilia,LV,NRLA,P,,,y
Apatura ilia,Apatura ilia,MD,NRLA,P,,,y
Apatura ilia,Apatura ilia,ME,NRLA,P,,,y
Apatura ilia,Apatura ilia,MK,Unknown,P,,,y
Apatura ilia,Apatura ilia,NL,NE,I,,Irregular resident,n
Apatura ilia,Apatura ilia,PL,LC,P,,,y
Apatura ilia,Apatura ilia,PT,NRLA,P,,,y
Apatura ilia,Apatura ilia,RO,NT,P,,,y
Apatura ilia,Apatura ilia,RS,LC,P,,VU in 2003,y
Apatura ilia,Apatura ilia,RU,NRLA,P,,,y
Apatura ilia,Apatura ilia,SE,NtA,I,,Six observations,n
Apatura ilia,Apatura ilia,SI,VU,P,,,y
Apatura ilia,Apatura ilia,SK,LC,P,,,y
Apatura ilia,Apatura ilia,UA,LC,P,,,y
Apatura iris,Apatura iris,AD,DD,P,,,y
Apatura iris,Apatura iris,AL,Unknown,P,,,y
Apatura iris,Apatura iris,AT,LC,P,,,y
Apatura iris,Apatura iris,BA,NT,P,,,y
Apatura iris,Apatura iris,BE,LC,P,,,y
Apatura iris,Apatura iris,BG,LC,P,,,y
Apatura iris,Apatura iris,BY,Unknown,P,,,y
Apatura iris,Apatura iris,CH,NT,P,,,y
Apatura iris,Apatura iris,CZ,NE,P,,,y
Apatura iris,Apatura iris,DE,NT,P,,,y
Apatura iris,Apatura iris,DK,LC,P,,,y
Apatura iris,Apatura iris,EE,LC,P,,,y
Apatura iris,Apatura iris,ES,NE,P,,,y
Apatura iris,Apatura iris,EU27,LC,P,,,y
Apatura iris,Apatura iris,EUR,LC,P,,,y
Apatura iris,Apatura iris,FI,LC,P,,,y
Apatura iris,Apatura iris,FR,LC,P,,,y
Apatura iris,Apatura iris,GB,NT,P,,,y
Apatura iris,Apatura iris,GR,LC,P,,,y
Apatura iris,Apatura iris,HR,NT,P,,,y
Apatura iris,Apatura iris,HU,NT,P,,,y
Apatura iris,Apatura iris,IT,LC,P,,,y
Apatura iris,Apatura iris,LI,NRLA,P,,,y
Apatura iris,Apatura iris,LT,LC,P,,,y
Apatura iris,Apatura iris,LU,LC,P,,,y
Apatura iris,Apatura iris,LV,NRLA,P,,,y
Apatura iris,Apatura iris,ME,NRLA,P,,,y
Apatura iris,Apatura iris,MK,Unknown,P,,,y
Apatura iris,Apatura iris,NL,CR,P,,,y
Apatura iris,Apatura iris,PL,NT,P,,Changed from LC to NT,y
Apatura iris,Apatura iris,PT,NRLA,P,,Extinct,y
Apatura iris,Apatura iris,RO,NT,P,,,y
Apatura iris,Apatura iris,RS,LC,P,,EN in 2003,y
Apatura iris,Apatura iris,RU,NRLA,P,,In need of monitoring,y
Apatura iris,Apatura iris,SE,LC,P,,,y
Apatura iris,Apatura iris,SI,LC,P,,,y
Apatura iris,Apatura iris,SK,LC,P,,,y
Apatura iris,Apatura iris,UA,LC,P,,,y
Apatura metis,Apatura metis,AL,Unknown,P,,Micevski et al. (2015),y
Apatura metis,Apatura metis,AT,DD,P,,Classification correct according to Helmut Höttinger,y
Apatura metis,Apatura metis,BA,NT,P,,,y
Apatura metis,Apatura metis,BG,LC,P,,,y
Apatura metis,Apatura metis,EU27,LC,P,,,y
Apatura metis,Apatura metis,EUR,LC,P,,,y
Apatura metis,Apatura metis,GR,LC,P,,,y
Apatura metis,Apatura metis,HR,VU,P,,,y
Apatura metis,Apatura metis,HU,VU,P,,,y
Apatura metis,Apatura metis,MD,NRLA,P,,,y
Apatura metis,Apatura metis,ME,NRLA,P,,,y
Apatura metis,Apatura metis,MK,NT,A,,Excluded by Nikola Micevski,n
Apatura metis,Apatura metis,RO,NT,P,,,y
Apatura metis,Apatura metis,RS,VU,P,,,y
Apatura metis,Apatura metis,RU,NRLA,P,,,y
Apatura metis,Apatura metis,SK,DD,P,,,y
Apatura metis,Apatura metis,UA,VU,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,AD,VU,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,AL,Unknown,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,AT,LC,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,BA,LC,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,BE,LC,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,BG,LC,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,BY,Unknown,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,CH,LC,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,CZ,NE,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,DE,LC,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,DK,LC,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,EE,LC,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,ES,NE,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,EU27,LC,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,EUR,LC,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,FI,LC,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,FR,LC,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,GB,LC,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,GR,LC,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,HR,LC,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,HU,LC,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,IE,LC,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,IT,LC,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,LI,NRLA,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,LT,LC,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,LU,LC,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,LV,NRLA,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,MD,NRLA,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,ME,NRLA,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,MK,Unknown,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,NL,LC,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,NO,LC,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,PL,LC,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,PT,NRLA,A,,Doubtful,n
Aphantopus hyperantus,Aphantopus hyperantus,RO,LC,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,RS,LC,P,,NT in 2003,y
Aphantopus hyperantus,Aphantopus hyperantus,RU,NRLA,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,SE,LC,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,SI,LC,P,,,y
Aphantopus hyperanthus,Aphantopus hyperantus,SK,LC,P,,,y
Aphantopus hyperantus,Aphantopus hyperantus,UA,LC,P,,,y
Aporia crataegi,Aporia crataegi,AD,LC,P,,,y
Aporia crataegi,Aporia crataegi,AL,Unknown,P,,,y
Aporia crataegi,Aporia crataegi,AT,NT,P,,,y
Aporia crataegi,Aporia crataegi,BA,LC,P,,,y
Aporia crataegi,Aporia crataegi,BE,LC,P,,,y
Aporia crataegi,Aporia crataegi,BG,LC,P,,,y
Aporia crataegi,Aporia crataegi,BY,Unknown,P,,,y
Aporia crataegi,Aporia crataegi,CH,NT,P,,,y
Aporia crataegi,Aporia crataegi,CY,NRLA,P,,,y
Aporia crataegi,Aporia crataegi,CZ,NE,P,,,y
Aporia crataegi,Aporia crataegi,DE,LC,P,,,y
Aporia crataegi,Aporia crataegi,DK,LC,P,,,y
Aporia crataegi,Aporia crataegi,EE,LC,P,,,y
Aporia crataegi,Aporia crataegi,ES,NE,P,,,y
Aporia crataegi,Aporia crataegi,EU27,LC,P,,,y
Aporia crataegi,Aporia crataegi,EUR,LC,P,,,y
Aporia crataegi,Aporia crataegi,FI,LC,P,,,y
Aporia crataegi,Aporia crataegi,FR,LC,P,,,y
Aporia crataegi,Aporia crataegi,GB,RE,Ex,,,y
Aporia crataegi,Aporia crataegi,GR,LC,P,,,y
Aporia crataegi,Aporia crataegi,HR,LC,P,,,y
Aporia crataegi,Aporia crataegi,HU,LC,P,,,y
Aporia crataegi,Aporia crataegi,IT,LC,P,,,y
Aporia crataegi,Aporia crataegi,LI,NRLA,I,,Only single observations,n
Aporia crataegi,Aporia crataegi,LT,LC,P,,,y
Aporia crataegi,Aporia crataegi,LU,LC,P,,,y
Aporia crataegi,Aporia crataegi,LV,NRLA,P,,,y
Aporia crataegi,Aporia crataegi,MD,NRLA,P,,Addition Rudi Verovnik,y
Aporia crataegi,Aporia crataegi,ME,NRLA,P,,,y
Aporia crataegi,Aporia crataegi,MK,Unknown,P,,,y
Aporia crataegi,Aporia crataegi,MT,NRLA,A,,Misidentification,n
Aporia crataegi,Aporia crataegi,NL,RE,Ex,,,y
Aporia crataegi,Aporia crataegi,NO,EN,P,,,y
Aporia crataegi,Aporia crataegi,PL,LC,P,,,y
Aporia crataegi,Aporia crataegi,PT,NRLA,P,,,y
Aporia crataegi,Aporia crataegi,RO,NT,P,,,y
Aporia crataegi,Aporia crataegi,RS,LC,P,,VU in 2003,y
Aporia crataegi,Aporia crataegi,RU,NRLA,P,,,y
Aporia crataegi,Aporia crataegi,SE,LC,P,,,y
Aporia crataegi,Aporia crataegi,SI,LC,P,,,y
Aporia crataegi,Aporia crataegi,SK,VU,P,,,y
Aporia crataegi,Aporia crataegi,UA,LC,P,,,y
Araschnia levana,Araschnia levana,AT,LC,P,,,y
Araschnia levana,Araschnia levana,BA,LC,P,,,y
Araschnia levana,Araschnia levana,BE,LC,P,,,y
Araschnia levana,Araschnia levana,BG,LC,P,,,y
Araschnia levana,Araschnia levana,BY,Unknown,P,,,y
Araschnia levana,Araschnia levana,CH,LC,P,,,y
Araschnia levana,Araschnia levana,CZ,NE,P,,,y
Araschnia levana,Araschnia levana,DE,LC,P,,,y
Araschnia levana,Araschnia levana,DK,LC,P,,,y
Araschnia levana,Araschnia levana,EE,LC,P,,,y
Araschnia levana,Araschnia levana,ES,NE,P,,,y
Araschnia levana,Araschnia levana,EU27,LC,P,,,y
Araschnia levana,Araschnia levana,EUR,LC,P,,,y
Araschnia levana,Araschnia levana,FI,LC,P,,,y
Araschnia levana,Araschnia levana,FR,LC,P,,,y
Araschnia levana,Araschnia levana,GB,NtA,I,,Occasional migrant,n
Araschnia levana,Araschnia levana,GR,LC,P,,,y
Araschnia levana,Araschnia levana,HR,LC,P,,,y
Araschnia levana,Araschnia levana,HU,LC,P,,,y
Araschnia levana,Araschnia levana,IT,EN,P,,,y
Araschnia levana,Araschnia levana,LI,NRLA,A,,Deleted by Ulrich Hiermann,n
Araschnia levana,Araschnia levana,LT,LC,P,,,y
Araschnia levana,Araschnia levana,LU,LC,P,,,y
Araschnia levana,Araschnia levana,LV,NRLA,P,,,y
Araschnia levana,Araschnia levana,MD,NRLA,P,,,y
Araschnia levana,Araschnia levana,ME,NRLA,P,,,y
Araschnia levana,Araschnia levana,MK,Unknown,P,,Thomas (1993),y
Araschnia levana,Araschnia levana,NL,LC,P,,,y
Araschnia levana,Araschnia levana,NO,NtA,I,,Vagrant,n
Araschnia levana,Araschnia levana,PL,LC,P,,,y
Araschnia levana,Araschnia levana,RO,LC,P,,,y
Araschnia levana,Araschnia levana,RS,LC,P,,,y
Araschnia levana,Araschnia levana,RU,NRLA,P,,,y
Araschnia levana,Araschnia levana,SE,LC,P,,,y
Araschnia levana,Araschnia levana,SI,LC,P,,,y
Araschnia levana,Araschnia levana,SK,LC,P,,,y
Araschnia levana,Araschnia levana,UA,LC,P,,,y
Archon apollinus,Archon apollinus,EU27,LC,P,,,y
Archon apollinus,Archon apollinus,EUR,NT,P,,,y
Archon apollinus,Archon apollinus,GR,NT,P,,,y
Arethusana arethusa,Arethusana arethusa,AD,VU,P,,,y
Arethusana arethusa,Arethusana arethusa,AL,VU,P,,,y
Arethusana arethusa,Arethusana arethusa,AT,EN,P,,,y
Arethusana arethusa,Arethusana arethusa,BA,LC,P,,,y
Arethusana arethusa,Arethusana arethusa,BE,NE,I,,,n
