scientific_name_regional,scientific_name,region_code,rlc,status,endemic,comments,use
Aglais ichnusa,Aglais ichnusa,EU27,LC,P,EU27,,y
Aglais ichnusa,Aglais ichnusa,EUR,LC,P,EUR,,y
Aglais urticae ichnusa,Aglais ichnusa,FR,Unknown,P,,,y
Aglais ichnusa,Aglais ichnusa,IT,LC,P,,,y
Inachis io,Aglais io,AD,LC,P,,,y
Aglais io,Aglais io,AL,Unknown,P,,,y
Inachis io,Aglais io,AT,LC,P,,,y
Aglais io,Aglais io,BA,LC,P,,,y
Aglais io,Aglais io,BE,LC,P,,,y
Aglais io,Aglais io,BG,LC,P,,,y
Inachis io,Aglais io,BY,Unknown,P,,,y
Inachis io,Aglais io,CH,LC,P,,,y
Aglais io,Aglais io,CZ,NE,P,,,y
Inachis io,Aglais io,DE,LC,P,,,y
Aglais io,Aglais io,DK,LC,P,,,y
Inachis io,Aglais io,EE,LC,P,,,y
Aglais io,Aglais io,ES,NE,P,,,y
Aglais io,Aglais io,EU27,LC,P,,,y
Aglais io,Aglais io,EUR,LC,P,,,y
Aglais io,Aglais io,FI,LC,P,,,y
Inachis io,Aglais io,FR,LC,P,,,y
Inachis io,Aglais io,GB,LC,P,,,y
Inachis io,Aglais io,GR,LC,P,,,y
Aglais io,Aglais io,HR,LC,P,,,y
Nymphalis io,Aglais io,HU,LC,P,,,y
Aglais io,Aglais io,IE,LC,P,,,y
Aglais io,Aglais io,IS,NRLA,P(I),,Only introduced,n
Inachis io,Aglais io,IT,LC,P,,,y
Inachis io,Aglais io,LI,NRLA,P,,,y
Inachis io,Aglais io,LT,LC,P,,,y
Inachis io,Aglais io,LU,NT,P,,,y
Aglais io,Aglais io,LV,NRLA,P,,,y
Inachis io,Aglais io,MD,NRLA,P,,,y
Aglais io,Aglais io,ME,NRLA,P,,,y
Aglais io,Aglais io,MK,Unknown,P,,,y
Aglais io,Aglais io,MT,NRLA,P(I),,Probably accidentally introduced,n
Aglais io,Aglais io,NL,LC,P,,,y
Aglais io,Aglais io,NO,LC,P,,,y
Aglais io,Aglais io,PL,LC,P,,,y
Aglais io,Aglais io,PT,NRLA,P,,,y
Aglais io,Aglais io,RO,LC,P,,,y
Aglais io,Aglais io,RS,LC,P,,,y
Aglais io,Aglais io,RU,NRLA,P,,,y
Aglais io,Aglais io,SE,LC,P,,,y
Aglais io,Aglais io,SI,LC,P,,,y
Aglais io,Aglais io,SK,LC,P,,,y
Inachis io,Aglais io,UA,LC,P,,,y
Aglais urticae,Aglais urticae,AD,LC,P,,,y
Aglais urticae,Aglais urticae,AL,Unknown,P,,,y
Aglais urticae,Aglais urticae,AT,LC,P,,,y
Aglais urticae,Aglais urticae,BA,LC,P,,,y
Aglais urticae,Aglais urticae,BE,LC,P,,,y
Aglais urticae,Aglais urticae,BG,LC,P,,,y
Aglais urticae,Aglais urticae,BY,Unknown,P,,,y
Aglais urticae,Aglais urticae,CH,LC,P,,,y
Aglais urticae,Aglais urticae,CZ,NE,P,,,y
Aglais urticae,Aglais urticae,DE,LC,P,,,y
Aglais urticae,Aglais urticae,DK,LC,P,,,y
Aglais urticae,Aglais urticae,EE,LC,P,,,y
Aglais urticae,Aglais urticae,ES,NE,P,,,y
Aglais urticae,Aglais urticae,EU27,LC,P,,,y
Aglais urticae,Aglais urticae,EUR,LC,P,,,y
Aglais urticae,Aglais urticae,FI,LC,P,,,y
Aglais urticae,Aglais urticae,FR,LC,P,,,y
Aglais urticae,Aglais urticae,GB,LC,P,,,y
Aglais urticae,Aglais urticae,GR,LC,P,,,y
Aglais urticae,Aglais urticae,HR,LC,P,,,y
Aglais urticae,Aglais urticae,HU,LC,P,,,y
Aglais urticae,Aglais urticae,IE,LC,P,,,y
Aglais urticae,Aglais urticae,IS,NRLA,P(I),,Only introduced,n
Aglais urticae,Aglais urticae,IT,LC,P,,,y
Aglais urticae,Aglais urticae,LI,NRLA,P,,,y
Aglais urticae,Aglais urticae,LT,LC,P,,,y
Aglais urticae,Aglais urticae,LU,LC,P,,,y
Aglais urticae,Aglais urticae,LV,NRLA,P,,,y
Aglais urticae,Aglais urticae,MD,NRLA,P,,,y
Aglais urticae,Aglais urticae,ME,NRLA,P,,,y
Aglais urticae,Aglais urticae,MK,Unknown,P,,,y
Aglais urticae,Aglais urticae,MT,NRLA,A,,Occurrence questionable,n
Aglais urticae,Aglais urticae,NL,LC,P,,,y
Aglais urticae,Aglais urticae,NO,LC,P,,,y
Aglais urticae,Aglais urticae,PL,LC,P,,,y
Aglais urticae,Aglais urticae,PT,NRLA,P,,,y
Aglais urticae,Aglais urticae,RO,LC,P,,,y
Aglais urticae,Aglais urticae,RS,LC,P,,,y
Aglais urticae,Aglais urticae,RU,NRLA,P,,,y
Aglais urticae,Aglais urticae,SE,LC,P,,,y
Aglais urticae,Aglais urticae,SI,LC,P,,,y
Aglais urticae,Aglais urticae,SK,LC,P,,,y
Aglais urticae,Aglais urticae,UA,LC,P,,,y
Plebejus aquilo,Agriades aquilo,EU27,LC,P,,,y
Plebejus aquilo,Agriades aquilo,EUR,LC,P,,,y
Plebejus aquilo,Agriades aquilo,FI,EN,P,,,y
Agriades aquilo,Agriades aquilo,NO,LC,P,,,y
Agriades aquilo,Agriades aquilo,RU,NRLA,P,,,y
Plebejus aquilo,Agriades aquilo,SE,NT,P,,,y
Plebejus dardanus,Agriades dardanus,BA,VU,P,,,y
Plebejus dardanus,Agriades dardanus,BG,EN,P,,,y
Plebejus dardanus,Agriades dardanus,EU27,NT,P,,,y
Plebejus dardanus,Agriades dardanus,EUR,NT,P,,,y
Plebejus pyrenaicus,Agriades dardanus,GR,EN,P,,Comment Rudi Verovnik: should be Agriades dardanus; Status change from NT to EN; Legakis & Maragou 2009,y
Plebejus dardanus,Agriades dardanus,MK,VU,A,,Absent according to Rudi Verovnik,n
Plebejus dardanus,Agriades dardanus,RU,NRLA,P,,Addition Rudi Verovnik,y
Plebejus dardanus,Agriades dardanus,UA,VU,P,,,y
Plebejus glandon,Agriades glandon,AD,NT,P,,,y
Plebejus glandon,Agriades glandon,AT,NT,P,,,y
Plebeius glandon,Agriades glandon,CH,LC,P,,,y
Plebeius glandon,Agriades glandon,DE,R,P,,,y
Agriades glandon,Agriades glandon,ES,NE,P,,,y
Plebejus glandon,Agriades glandon,EU27,LC,P,,,y
Plebejus glandon,Agriades glandon,EUR,LC,P,EUR,,y
Agriades glandon,Agriades glandon,FR,LC,P,,,y
Agriades glandon,Agriades glandon,IT,LC,P,,,y
Agriades glandon,Agriades glandon,LI,NRLA,P,,,y
Plebejus optilete,Agriades optilete,AT,VU,P,,,y
Agriades optilete,Agriades optilete,BY,Unknown,P,,,y
Plebeius optilete,Agriades optilete,CH,LC,P,,,y
Vacciniina optilete,Agriades optilete,CZ,VU,P,,,y
Plebeius optilete,Agriades optilete,DE,EN,P,,,y
Plebejus optilete,Agriades optilete,DK,NT,P,,,y
Vacciniina optilete,Agriades optilete,EE,LC,P,,,y
Plebejus optilete,Agriades optilete,EU27,LC,P,,,y
Plebejus optilete,Agriades optilete,EUR,LC,P,,,y
Agriades optilete,Agriades optilete,FI,LC,P,,,y
Plebejus optilete,Agriades optilete,FR,LC,P,,,y
Albulina optilete,Agriades optilete,IT,LC,P,,,y
Agriades optilete,Agriades optilete,LT,LC,P,,,y
Agriades optilete,Agriades optilete,LV,NRLA,P,,,y
Plebejus optilete,Agriades optilete,MK,VU,P,,,y
Plebejus optilete,Agriades optilete,NL,CR,P,,,y
Agriades optilete,Agriades optilete,NO,LC,P,,,y
Plebejus optilete,Agriades optilete,PL,EN,P,,,y
Vacciniina optilete,Agriades optilete,RO,RE,Ex,,,y
Agriades optilete,Agriades optilete,RS,EN,P,,NT in 2003,y
Plebejus optilete,Agriades optilete,RU,NRLA,P,,,y
Plebejus optilete,Agriades optilete,SE,LC,P,,,y
Plebejus optilete,Agriades optilete,SI,NT,P,,,y
Plebejus optilete,Agriades optilete,SK,EN,P,,,y
Plebejus optilete,Agriades optilete,UA,VU,P,,,y
Plebejus orbitulus,Agriades orbitulus,AT,NT,P,,,y
Plebeius orbitulus,Agriades orbitulus,CH,LC,P,,,y
Plebeius orbitulus,Agriades orbitulus,DE,R,P,,,y
Plebejus orbitulus,Agriades orbitulus,EU27,LC,P,,,y
Plebejus orbitulus,Agriades orbitulus,EUR,LC,P,,,y
Albulina orbitulus,Agriades orbitulus,FR,LC,P,,,y
Albulina orbitulus,Agriades orbitulus,IT,LC,P,,,y
Albulina orbitulus,Agriades orbitulus,LI,NRLA,P,,,y
Agriades orbitulus,Agriades orbitulus,NO,LC,P,,,y
Agriades orbitulus,Agriades orbitulus,RU,NRLA,P,,,y
Plebejus orbitulus,Agriades orbitulus,SE,LC,P,,,y
Plebejus orbitulus,Agriades orbitulus,SI,NT,P,,,y
Agriades pyrenaicus,Agriades pyrenaicus,ES,NE,P,,,y
Plebejus pyrenaicus,Agriades pyrenaicus,EU27,LC,P,EU27,,y
Plebejus pyrenaicus,Agriades pyrenaicus,EUR,LC,P,EUR,,y
Agriades pyrenaicus,Agriades pyrenaicus,FR,LC,P,,,y
Polyommatus pyrenaicus,Agriades pyrenaicus,UA,VU,A,,"Comment Yurii Geryak: A. pyrenaicus is absent in Ukraine! Instead, there is A. dardanus.",n
Agriades zullichi,Agriades zullichi,ES,EN,P,ES,,y
Plebejus zullichi,Agriades zullichi,EU27,EN,P,EU27,,y
Plebejus zullichi,Agriades zullichi,EUR,EN,P,EUR,,y
Anthocharis cardamines,Anthocharis cardamines,AD,LC,P,,,y
Anthocharis cardamines,Anthocharis cardamines,AL,Unknown,P,,,y
Anthocharis cardamines,Anthocharis cardamines,AT,LC,P,,,y
Anthocharis cardamines,Anthocharis cardamines,BA,LC,P,,,y
Anthocharis cardamines,Anthocharis cardamines,BE,LC,P,,,y
Anthocharis cardamines,Anthocharis cardamines,BG,LC,P,,,y
Anthocharis cardamines,Anthocharis cardamines,BY,Unknown,P,,,y
Anthocharis cardamines,Anthocharis cardamines,CH,LC,P,,,y
Anthocharis cardamines,Anthocharis cardamines,CY,NRLA,P,,,y
Anthocharis cardamines,Anthocharis cardamines,CZ,NE,P,,,y
Anthocharis cardamines,Anthocharis cardamines,DE,LC,P,,,y
Anthocharis cardamines,Anthocharis cardamines,DK,LC,P,,,y
Anthocharis cardamines,Anthocharis cardamines,EE,LC,P,,,y
Anthocharis cardamines,Anthocharis cardamines,ES,NE,P,,,y
Anthocharis cardamines,Anthocharis cardamines,EU27,LC,P,,,y
Anthocharis cardamines,Anthocharis cardamines,EUR,LC,P,,,y
Anthocharis cardamines,Anthocharis cardamines,FI,LC,P,,,y
Anthocharis cardamines,Anthocharis cardamines,FR,LC,P,,,y
Anthocharis cardamines,Anthocharis cardamines,GB,LC,P,,,y
Anthocharis cardamines,Anthocharis cardamines,GR,LC,P,,,y
Anthocharis cardamines,Anthocharis cardamines,HR,LC,P,,,y
Anthocharis cardamines,Anthocharis cardamines,HU,LC,P,,,y
Anthocharis cardamines,Anthocharis cardamines,IE,LC,P,,,y
Anthocharis cardamines,Anthocharis cardamines,IT,LC,P,,,y
Anthocharis cardamines,Anthocharis cardamines,LI,NRLA,P,,,y
Anthocharis cardamines,Anthocharis cardamines,LT,LC,P,,,y
Anthocharis cardamines,Anthocharis cardamines,LU,LC,P,,,y
Anthocharis cardamines,Anthocharis cardamines,LV,NRLA,P,,,y
Anthocharis cardamines,Anthocharis cardamines,MD,NRLA,P,,,y
Anthocharis cardamines,Anthocharis cardamines,ME,NRLA,P,,,y
Anthocharis cardamines,Anthocharis cardamines,MK,Unknown,P,,,y
Anthocharis cardamines,Anthocharis cardamines,NL,LC,P,,,y
Anthocharis cardamines,Anthocharis cardamines,NO,LC,P,,,y
Anthocharis cardamines,Anthocharis cardamines,PL,LC,P,,,y
