region_code,citation_type,citation,citation_full,citation_url
DK,species_list,Aarvik et al. (2017),"Aarvik, L., Bengtsson, B.Å., Elven, H., Ivinskis, P., Jürivete, U., Karsholt, O., Mutanen, M., Savenkov, N., 2017. Nordic-Baltic Checklist of Lepidoptera. Norwegian Journal of Entomology Supplement 3, 1-236.",http://urn.nb.no/URN:NBN:no-66719
EE,species_list,Aarvik et al. (2017),"Aarvik, L., Bengtsson, B.Å., Elven, H., Ivinskis, P., Jürivete, U., Karsholt, O., Mutanen, M., Savenkov, N., 2017. Nordic-Baltic Checklist of Lepidoptera. Norwegian Journal of Entomology Supplement 3, 1-236.",http://urn.nb.no/URN:NBN:no-66719
FI,species_list,Aarvik et al. (2017),"Aarvik, L., Bengtsson, B.Å., Elven, H., Ivinskis, P., Jürivete, U., Karsholt, O., Mutanen, M., Savenkov, N., 2017. Nordic-Baltic Checklist of Lepidoptera. Norwegian Journal of Entomology Supplement 3, 1-236.",http://urn.nb.no/URN:NBN:no-66719
LV,species_list,Aarvik et al. (2017),"Aarvik, L., Bengtsson, B.Å., Elven, H., Ivinskis, P., Jürivete, U., Karsholt, O., Mutanen, M., Savenkov, N., 2017. Nordic-Baltic Checklist of Lepidoptera. Norwegian Journal of Entomology Supplement 3, 1-236.",http://urn.nb.no/URN:NBN:no-66719
LT,species_list,Aarvik et al. (2017),"Aarvik, L., Bengtsson, B.Å., Elven, H., Ivinskis, P., Jürivete, U., Karsholt, O., Mutanen, M., Savenkov, N., 2017. Nordic-Baltic Checklist of Lepidoptera. Norwegian Journal of Entomology Supplement 3, 1-236.",http://urn.nb.no/URN:NBN:no-66719
NO,species_list,Aarvik et al. (2017),"Aarvik, L., Bengtsson, B.Å., Elven, H., Ivinskis, P., Jürivete, U., Karsholt, O., Mutanen, M., Savenkov, N., 2017. Nordic-Baltic Checklist of Lepidoptera. Norwegian Journal of Entomology Supplement 3, 1-236.",http://urn.nb.no/URN:NBN:no-66719
HU,red_list,Ádám Kőrösi & Ádám Gór (pers. comm.),,
SE,red_list,Ahrné et al. (2015),"Ahrné, K., Bengtsson, B., Björklund, J.O., Cederberg, B., Eliasson, C., Hydén, N., Jonasson, J., Lindeborg, M., Ohlsson, A., Palmqvist, G., Ryrholm, N., 2015. Rödlistade fjärilar, Redlisted Butterflies and Moths (Lepidoptera) i “Rödlistade arter i Sverige 2015"", In Rödlistade arter i Sverige 2015. ed. A. Westling, pp. 98-112. ArtDatabanken, Uppsala.",
SE,species_list,Ahrné et al. (2015),"Ahrné, K., Bengtsson, B., Björklund, J.O., Cederberg, B., Eliasson, C., Hydén, N., Jonasson, J., Lindeborg, M., Ohlsson, A., Palmqvist, G., Ryrholm, N., 2015. Rödlistade fjärilar, Redlisted Butterflies and Moths (Lepidoptera) i “Rödlistade arter i Sverige 2015"", In Rödlistade arter i Sverige 2015. ed. A. Westling, pp. 98-112. ArtDatabanken, Uppsala.",
LI,species_list,Aistleitner and Aistleitner (1996),"Aistleitner, E., Aistleitner, U., 1996. Die Tagfalter des Fürstentums Liechtenstein (Lepidoptera: Papilionoidea und Hesperioidea). Regierung des Fürstentums Liechtenstein, Vaduz.",
CZ,species_list,Alois Pavlíčko and Zdeněk Faltýnek Fric (pers. comm.),,
